ID,DATASET,FOLD,PREPROC,ALGORITHM,ORDER,ALPHA,ENCODER,PRE,REC,SPE,F1,GEO,IBA
abalone-3_vs_11_original_RF,abalone-3_vs_11,0,original,RF,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_RF,abalone-3_vs_11,0,smotenc,RF,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_original_KNN,abalone-3_vs_11,0,original,KNN,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_KNN,abalone-3_vs_11,0,smotenc,KNN,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_original_DTREE,abalone-3_vs_11,0,original,DTREE,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_DTREE,abalone-3_vs_11,0,smotenc,DTREE,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_original_LRG,abalone-3_vs_11,0,original,LRG,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_LRG,abalone-3_vs_11,0,smotenc,LRG,NONE,NONE,NONE,0.9851,0.9703,0.9991,0.975,0.9846,0.9666
abalone-3_vs_11_original_ABC,abalone-3_vs_11,0,original,ABC,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_ABC,abalone-3_vs_11,0,smotenc,ABC,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_original_MLP,abalone-3_vs_11,0,original,MLP,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_MLP,abalone-3_vs_11,0,smotenc,MLP,NONE,NONE,NONE,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_original_SVM,abalone-3_vs_11,0,original,SVM,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_SVM,abalone-3_vs_11,0,smotenc,SVM,NONE,NONE,NONE,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_original_SGD,abalone-3_vs_11,0,original,SGD,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_smotenc_SGD,abalone-3_vs_11,0,smotenc,SGD,NONE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,BaseNEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_BaseNEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,BinaryEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_BinaryEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,CatBoostEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_CatBoostEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,GLMMEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_GLMMEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HashingEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,HashingEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HashingEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,HashingEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HashingEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,HashingEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_HashingEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,HashingEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HashingEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,HashingEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HashingEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,HashingEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HelmertEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,HelmertEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HelmertEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,HelmertEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HelmertEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,HelmertEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HelmertEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,HelmertEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HelmertEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,HelmertEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_HelmertEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,HelmertEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_JamesSteinEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,JamesSteinEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_JamesSteinEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,JamesSteinEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_JamesSteinEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,JamesSteinEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_JamesSteinEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,JamesSteinEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_JamesSteinEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,JamesSteinEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_JamesSteinEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,JamesSteinEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_LeaveOneOutEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,LeaveOneOutEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_LeaveOneOutEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,LeaveOneOutEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_LeaveOneOutEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,LeaveOneOutEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_LeaveOneOutEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,LeaveOneOutEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_LeaveOneOutEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,LeaveOneOutEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_LeaveOneOutEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,LeaveOneOutEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_MEstimateEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,MEstimateEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_MEstimateEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,MEstimateEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_MEstimateEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,MEstimateEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_MEstimateEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,MEstimateEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_MEstimateEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,MEstimateEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_MEstimateEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,MEstimateEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OneHotEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,OneHotEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OneHotEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,OneHotEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OneHotEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,OneHotEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_OneHotEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,OneHotEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OneHotEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,OneHotEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OneHotEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,OneHotEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OrdinalEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,OrdinalEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OrdinalEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,OrdinalEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OrdinalEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,OrdinalEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_OrdinalEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,OrdinalEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OrdinalEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,OrdinalEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_OrdinalEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,OrdinalEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_SumEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,SumEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_SumEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,SumEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_SumEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,SumEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_SumEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,SumEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_SumEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,SumEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_SumEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,SumEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_TargetEncoder_smote_RF,abalone-3_vs_11,0,smote,RF,NONE,NONE,TargetEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_TargetEncoder_borderline1_RF,abalone-3_vs_11,0,borderline1,RF,NONE,NONE,TargetEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_TargetEncoder_borderline2_RF,abalone-3_vs_11,0,borderline2,RF,NONE,NONE,TargetEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_TargetEncoder_smoteSVM_RF,abalone-3_vs_11,0,smoteSVM,RF,NONE,NONE,TargetEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_TargetEncoder_geometric_smote_RF,abalone-3_vs_11,0,geometric_smote,RF,NONE,NONE,TargetEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_TargetEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,solid_angle,7.0,TargetEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_smote_KNN,abalone-3_vs_11,0,smote,KNN,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_borderline1_KNN,abalone-3_vs_11,0,borderline1,KNN,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_borderline2_KNN,abalone-3_vs_11,0,borderline2,KNN,NONE,NONE,BaseNEncoder,0.9881,0.9802,0.9994,0.9826,0.9897,0.9777
abalone-3_vs_11_BaseNEncoder_smoteSVM_KNN,abalone-3_vs_11,0,smoteSVM,KNN,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_geometric_smote_KNN,abalone-3_vs_11,0,geometric_smote,KNN,NONE,NONE,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BaseNEncoder_dtosmote_KNN,abalone-3_vs_11,0,dtosmote,KNN,solid_angle,7.0,BaseNEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_smote_KNN,abalone-3_vs_11,0,smote,KNN,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_borderline1_KNN,abalone-3_vs_11,0,borderline1,KNN,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_borderline2_KNN,abalone-3_vs_11,0,borderline2,KNN,NONE,NONE,BinaryEncoder,0.9881,0.9802,0.9994,0.9826,0.9897,0.9777
abalone-3_vs_11_BinaryEncoder_smoteSVM_KNN,abalone-3_vs_11,0,smoteSVM,KNN,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_geometric_smote_KNN,abalone-3_vs_11,0,geometric_smote,KNN,NONE,NONE,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_BinaryEncoder_dtosmote_KNN,abalone-3_vs_11,0,dtosmote,KNN,solid_angle,7.0,BinaryEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_smote_KNN,abalone-3_vs_11,0,smote,KNN,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_borderline1_KNN,abalone-3_vs_11,0,borderline1,KNN,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_borderline2_KNN,abalone-3_vs_11,0,borderline2,KNN,NONE,NONE,CatBoostEncoder,0.9926,0.9901,0.9997,0.9908,0.9949,0.9888
abalone-3_vs_11_CatBoostEncoder_smoteSVM_KNN,abalone-3_vs_11,0,smoteSVM,KNN,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_geometric_smote_KNN,abalone-3_vs_11,0,geometric_smote,KNN,NONE,NONE,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_CatBoostEncoder_dtosmote_KNN,abalone-3_vs_11,0,dtosmote,KNN,solid_angle,7.0,CatBoostEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_smote_KNN,abalone-3_vs_11,0,smote,KNN,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_borderline1_KNN,abalone-3_vs_11,0,borderline1,KNN,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_borderline2_KNN,abalone-3_vs_11,0,borderline2,KNN,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_smoteSVM_KNN,abalone-3_vs_11,0,smoteSVM,KNN,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
abalone-3_vs_11_GLMMEncoder_geometric_smote_KNN,abalone-3_vs_11,0,geometric_smote,KNN,NONE,NONE,GLMMEncoder,1.0,1.0,1.0,1.0,1.0,1.0
