ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,GEO,aspect_ratio,1.0,5.50625,4.2125,3.6875,4.1625,4.0375,5.13125,4.6625,4.6
BinaryEncoder,GEO,aspect_ratio,1.0,5.38125,4.2125,4.0875,4.1375,3.88125,4.9875,4.68125,4.63125
CatBoostEncoder,GEO,aspect_ratio,1.0,4.99375,3.8375,4.09375,4.375,4.56875,5.15625,4.425,4.55
GLMMEncoder,GEO,aspect_ratio,1.0,5.2625,4.21875,4.20625,4.18125,4.70625,4.5,4.58125,4.34375
HashingEncoder,GEO,aspect_ratio,1.0,4.31875,3.275,4.3375,4.65625,4.3875,5.2,4.69375,5.13125
HelmertEncoder,GEO,aspect_ratio,1.0,4.9625,3.8125,4.03125,4.275,4.29375,4.99375,4.6,5.03125
JamesSteinEncoder,GEO,aspect_ratio,1.0,4.8,3.8125,3.94375,4.36875,4.73125,4.85,4.65,4.84375
LeaveOneOutEncoder,GEO,aspect_ratio,1.0,4.41875,3.4125,4.45625,4.6125,4.725,4.83125,4.6375,4.90625
MEstimateEncoder,GEO,aspect_ratio,1.0,4.8875,3.75625,4.63125,4.025,4.7875,4.5125,5.0,4.4
OneHotEncoder,GEO,aspect_ratio,1.0,5.79375,4.63125,3.95625,3.71875,3.775,4.6875,4.575,4.8625
OrdinalEncoder,GEO,aspect_ratio,1.0,4.875,3.7125,3.85625,4.49375,4.16875,5.01875,4.80625,5.06875
SumEncoder,GEO,aspect_ratio,1.0,5.64375,4.525,3.76875,3.7625,4.0875,4.6375,4.60625,4.96875
TargetEncoder,GEO,aspect_ratio,1.0,5.4,4.20625,4.16875,4.16875,4.1,4.4625,4.95,4.54375
