ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
BaseNEncoder,KNN,6.1,3.75,4.25,5.1,3.8,3.6,6.4,3.0,SPE
BaseNEncoder,RF,4.75,3.85,4.55,5.15,4.45,5.4,4.1,3.75,SPE
BaseNEncoder,ABC,6.05,5.35,3.9,4.05,3.15,4.2,5.05,4.25,SPE
BaseNEncoder,DTREE,4.1,3.6,3.2,5.2,4.55,5.5,5.05,4.8,SPE
BaseNEncoder,MLP,5.8,4.15,3.9,3.05,5.05,4.8,4.35,4.9,SPE
BaseNEncoder,SGD,6.5,4.1,4.3,2.2,4.3,4.4,5.0,5.2,SPE
BaseNEncoder,SVM,7.15,4.25,3.05,3.85,3.55,3.85,4.6,5.7,SPE
BaseNEncoder,LRG,5.4,4.8,3.3,4.6,3.25,5.0,3.85,5.8,SPE
,avarage,5.73,4.23,3.81,4.15,4.01,4.59,4.8,4.68,SPE
,std,0.97,0.58,0.56,1.09,0.68,0.7,0.79,0.96,SPE
