ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
BaseNEncoder,ABC,3.75,4.45,5.25,4.45,4.35,5.55,4.65,3.55,F1
BaseNEncoder,RF,3.35,3.75,5.05,5.05,4.3,7.0,3.9,3.6,F1
BaseNEncoder,DTREE,2.3,3.8,3.4,5.5,4.4,6.6,6.1,3.9,F1
BaseNEncoder,LRG,3.05,4.65,4.55,5.05,3.9,6.05,4.7,4.05,F1
BaseNEncoder,KNN,2.9,4.0,5.1,4.7,4.4,5.8,4.7,4.4,F1
BaseNEncoder,MLP,4.2,3.8,4.1,3.0,5.6,6.0,4.6,4.7,F1
BaseNEncoder,SVM,4.25,3.6,3.9,4.35,4.65,5.65,4.9,4.7,F1
BaseNEncoder,SGD,4.15,3.3,4.05,4.3,4.3,6.1,5.05,4.75,F1
,avarage,3.49,3.92,4.43,4.55,4.49,6.09,4.82,4.21,F1
,std,0.71,0.44,0.67,0.75,0.49,0.49,0.62,0.5,F1
