ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
BaseNEncoder,KNN,5.4,4.1,4.1,5.1,3.8,4.6,5.6,3.3,GEO
BaseNEncoder,ABC,5.85,5.15,4.35,3.75,3.45,4.55,5.25,3.65,GEO
BaseNEncoder,DTREE,3.7,3.7,3.2,5.15,4.7,5.95,5.8,3.8,GEO
BaseNEncoder,SGD,6.3,4.15,4.05,3.1,4.6,5.4,4.6,3.8,GEO
BaseNEncoder,RF,4.85,3.95,4.65,5.05,3.85,6.0,3.8,3.85,GEO
BaseNEncoder,SVM,7.35,4.5,2.7,3.85,3.85,4.95,4.8,4.0,GEO
BaseNEncoder,MLP,5.7,4.25,3.8,2.95,5.15,5.3,4.45,4.4,GEO
BaseNEncoder,LRG,5.15,4.9,3.65,4.65,3.5,5.25,4.0,4.9,GEO
,avarage,5.54,4.34,3.81,4.2,4.11,5.25,4.79,3.96,GEO
,std,1.07,0.49,0.63,0.91,0.62,0.55,0.72,0.49,GEO
