ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
BinaryEncoder,SGD,6.05,3.95,4.45,4.6,5.0,4.1,4.65,3.2,SPE
BinaryEncoder,KNN,6.6,3.85,3.75,5.3,3.3,3.4,5.9,3.9,SPE
BinaryEncoder,RF,4.9,4.1,4.7,3.7,4.5,4.9,5.0,4.2,SPE
BinaryEncoder,DTREE,4.2,3.7,4.3,5.0,4.75,5.85,3.9,4.3,SPE
BinaryEncoder,MLP,5.25,4.15,4.55,4.6,3.95,4.35,4.8,4.35,SPE
BinaryEncoder,ABC,5.8,4.85,3.45,3.65,4.1,4.65,4.9,4.6,SPE
BinaryEncoder,LRG,5.65,5.05,3.75,3.6,3.1,5.05,4.35,5.45,SPE
BinaryEncoder,SVM,7.15,4.5,3.1,3.6,2.95,4.45,4.65,5.6,SPE
,avarage,5.7,4.27,4.01,4.26,3.96,4.59,4.77,4.45,SPE
,std,0.94,0.48,0.58,0.7,0.78,0.72,0.57,0.78,SPE
