ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
CatBoostEncoder,LRG,2.55,3.7,4.35,4.2,6.0,5.95,5.65,3.6,REC
CatBoostEncoder,KNN,2.65,4.1,4.9,4.5,5.4,6.05,4.3,4.1,REC
CatBoostEncoder,MLP,3.2,3.4,5.3,4.4,4.9,6.0,4.45,4.35,REC
CatBoostEncoder,SVM,3.55,3.9,3.9,4.25,4.85,5.9,5.15,4.5,REC
CatBoostEncoder,DTREE,2.85,3.8,5.7,3.4,5.35,5.7,3.95,5.25,REC
CatBoostEncoder,ABC,3.6,3.85,5.2,5.4,4.3,5.1,3.1,5.45,REC
CatBoostEncoder,RF,2.6,3.6,4.1,4.3,5.25,5.9,4.6,5.65,REC
CatBoostEncoder,SGD,3.55,3.15,4.2,4.45,4.3,5.15,5.1,6.1,REC
,avarage,3.07,3.69,4.71,4.36,5.04,5.72,4.54,4.88,REC
,std,0.46,0.3,0.66,0.54,0.58,0.38,0.79,0.86,REC
