ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
CatBoostEncoder,RF,3.25,3.5,3.9,4.7,5.2,6.0,5.2,4.25,F1
CatBoostEncoder,ABC,3.7,3.8,5.2,5.5,4.6,5.35,3.2,4.65,F1
CatBoostEncoder,SGD,4.2,3.25,4.2,4.85,4.7,4.75,5.15,4.9,F1
CatBoostEncoder,LRG,3.0,3.8,4.1,4.05,5.4,5.5,5.15,5.0,F1
CatBoostEncoder,MLP,3.0,3.05,5.25,4.25,5.1,5.95,4.4,5.0,F1
CatBoostEncoder,KNN,2.8,3.8,4.65,3.95,5.15,5.9,4.25,5.5,F1
CatBoostEncoder,SVM,3.95,3.55,3.45,3.75,5.0,5.65,4.95,5.7,F1
CatBoostEncoder,DTREE,2.65,3.4,5.5,3.3,5.4,5.3,4.15,6.3,F1
,avarage,3.32,3.52,4.53,4.29,5.07,5.55,4.56,5.16,F1
,std,0.57,0.28,0.73,0.7,0.29,0.42,0.7,0.65,F1
