ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
GLMMEncoder,KNN,6.3,4.9,3.5,4.5,4.15,4.35,5.2,3.1,GEO
GLMMEncoder,MLP,5.6,4.5,4.0,3.9,4.6,4.1,5.4,3.9,GEO
GLMMEncoder,DTREE,3.7,3.9,4.7,4.7,5.55,4.85,4.65,3.95,GEO
GLMMEncoder,RF,4.3,3.8,5.1,4.0,5.1,3.9,5.4,4.4,GEO
GLMMEncoder,ABC,4.15,3.3,4.65,4.05,5.2,4.85,5.15,4.65,GEO
GLMMEncoder,LRG,5.3,4.6,4.3,4.3,3.8,4.5,4.3,4.9,GEO
GLMMEncoder,SGD,5.4,4.25,4.25,4.2,5.2,4.1,3.4,5.2,GEO
GLMMEncoder,SVM,6.7,4.35,3.2,3.9,3.7,5.2,3.25,5.7,GEO
,avarage,5.18,4.2,4.21,4.19,4.66,4.48,4.59,4.48,GEO
,std,1.06,0.51,0.63,0.29,0.71,0.45,0.87,0.82,GEO
