ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
GLMMEncoder,MLP,5.6,4.5,4.0,3.95,4.6,4.2,5.55,3.6,IBA
GLMMEncoder,ABC,4.35,3.4,4.65,4.05,5.5,4.95,5.25,3.85,IBA
GLMMEncoder,KNN,6.3,4.7,3.6,4.2,3.95,4.05,5.3,3.9,IBA
GLMMEncoder,LRG,5.4,4.8,4.45,4.4,3.85,4.7,4.5,3.9,IBA
GLMMEncoder,RF,4.2,3.8,5.1,4.2,5.1,4.0,5.2,4.4,IBA
GLMMEncoder,SGD,5.45,3.8,4.5,4.5,5.55,4.45,3.3,4.45,IBA
GLMMEncoder,DTREE,3.7,3.8,4.6,4.5,5.45,4.55,4.35,5.05,IBA
GLMMEncoder,SVM,6.7,4.35,2.7,3.9,4.0,5.4,3.15,5.8,IBA
,avarage,5.21,4.14,4.2,4.21,4.75,4.54,4.57,4.37,IBA
,std,1.05,0.51,0.75,0.24,0.74,0.48,0.93,0.74,IBA
