ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
GLMMEncoder,SGD,4.25,4.15,4.55,3.8,4.35,5.05,4.5,5.35,REC
GLMMEncoder,KNN,3.0,4.6,4.6,4.5,4.55,5.55,3.8,5.4,REC
GLMMEncoder,ABC,3.05,3.55,4.45,4.5,4.8,5.9,4.3,5.45,REC
GLMMEncoder,RF,2.55,3.7,4.55,3.75,4.85,5.35,5.7,5.55,REC
GLMMEncoder,LRG,3.1,3.6,4.4,4.5,4.45,5.6,4.8,5.55,REC
GLMMEncoder,MLP,3.4,4.35,3.9,3.7,4.1,5.15,5.6,5.8,REC
GLMMEncoder,SVM,3.55,4.35,3.45,4.3,4.8,5.75,3.95,5.85,REC
GLMMEncoder,DTREE,3.0,4.2,3.85,4.45,4.45,5.05,4.85,6.15,REC
,avarage,3.24,4.06,4.22,4.19,4.54,5.42,4.69,5.64,REC
,std,0.51,0.39,0.43,0.37,0.26,0.33,0.7,0.27,REC
