ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
GLMMEncoder,KNN,6.35,4.95,3.55,4.35,4.05,4.25,5.25,3.25,GEO
GLMMEncoder,MLP,5.6,4.5,4.05,4.15,4.65,4.05,5.45,3.55,GEO
GLMMEncoder,ABC,4.35,3.5,4.75,4.05,5.3,4.95,5.25,3.85,GEO
GLMMEncoder,SVM,6.9,4.65,3.4,4.0,4.0,5.5,3.45,4.1,GEO
GLMMEncoder,DTREE,3.7,3.9,4.8,4.7,5.55,4.75,4.45,4.15,GEO
GLMMEncoder,LRG,5.4,4.6,4.3,4.3,3.9,4.8,4.2,4.5,GEO
GLMMEncoder,SGD,5.5,4.25,4.15,4.3,5.6,4.2,3.3,4.7,GEO
GLMMEncoder,RF,4.2,3.7,5.0,3.8,5.1,3.9,5.3,5.0,GEO
,avarage,5.25,4.26,4.25,4.21,4.77,4.55,4.58,4.14,GEO
,std,1.1,0.51,0.58,0.27,0.71,0.54,0.87,0.59,GEO
