ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
HashingEncoder,KNN,2.9,4.2,5.0,4.6,4.9,5.7,4.6,4.1,F1
HashingEncoder,SGD,3.8,3.05,3.9,4.5,5.75,6.1,4.5,4.4,F1
HashingEncoder,ABC,2.0,2.25,5.75,5.75,5.65,6.05,4.1,4.45,F1
HashingEncoder,MLP,2.6,2.45,3.95,5.45,4.65,6.1,5.7,5.1,F1
HashingEncoder,RF,2.2,3.3,5.4,4.7,4.55,6.2,4.35,5.3,F1
HashingEncoder,SVM,3.45,3.65,4.05,4.55,4.25,5.45,4.8,5.8,F1
HashingEncoder,DTREE,2.3,2.8,4.7,5.25,4.6,5.35,5.15,5.85,F1
HashingEncoder,LRG,2.1,2.4,4.65,4.45,5.0,6.25,5.25,5.9,F1
,avarage,2.67,3.01,4.68,4.91,4.92,5.9,4.81,5.11,F1
,std,0.66,0.68,0.69,0.5,0.53,0.35,0.53,0.72,F1
