ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
HashingEncoder,ABC,3.1,2.95,5.05,5.15,5.25,5.35,5.0,4.15,GEO
HashingEncoder,KNN,4.9,3.7,4.2,4.9,4.3,4.9,4.8,4.3,GEO
HashingEncoder,MLP,3.9,2.85,3.75,4.45,4.35,5.9,6.0,4.8,GEO
HashingEncoder,RF,4.1,3.2,5.15,4.7,4.6,4.9,4.45,4.9,GEO
HashingEncoder,SGD,5.05,3.6,4.25,4.4,4.55,5.15,3.95,5.05,GEO
HashingEncoder,LRG,4.0,3.45,4.65,4.0,4.55,5.35,4.7,5.3,GEO
HashingEncoder,SVM,6.75,4.15,3.15,4.35,3.25,5.3,3.7,5.35,GEO
HashingEncoder,DTREE,2.75,2.8,4.55,5.2,4.65,5.2,5.0,5.85,GEO
,avarage,4.32,3.34,4.34,4.64,4.44,5.26,4.7,4.96,GEO
,std,1.26,0.47,0.66,0.42,0.56,0.32,0.71,0.56,GEO
