ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
HelmertEncoder,ABC,3.8,3.85,4.7,5.25,4.35,5.65,5.4,3.0,F1
HelmertEncoder,DTREE,3.2,4.6,4.9,4.4,4.6,5.6,5.1,3.6,F1
HelmertEncoder,KNN,3.3,4.8,4.65,4.05,5.25,6.4,3.45,4.1,F1
HelmertEncoder,SVM,3.75,4.35,4.55,4.3,5.2,5.3,4.05,4.5,F1
HelmertEncoder,SGD,4.65,4.3,4.2,4.55,5.15,4.25,4.0,4.9,F1
HelmertEncoder,RF,3.1,3.65,4.8,4.05,4.65,5.45,5.3,5.0,F1
HelmertEncoder,LRG,2.1,3.4,5.2,3.9,4.5,6.3,5.0,5.6,F1
HelmertEncoder,MLP,4.3,3.2,4.6,3.45,4.15,5.95,4.65,5.7,F1
,avarage,3.52,4.02,4.7,4.24,4.73,5.61,4.62,4.55,F1
,std,0.79,0.58,0.29,0.53,0.42,0.67,0.71,0.95,F1
