ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
JamesSteinEncoder,RF,3.25,3.85,4.85,4.75,4.75,5.45,4.7,4.4,F1
JamesSteinEncoder,LRG,2.35,3.0,5.2,4.2,4.7,6.2,5.65,4.7,F1
JamesSteinEncoder,ABC,2.8,3.2,4.5,4.5,4.8,5.95,5.4,4.85,F1
JamesSteinEncoder,KNN,3.1,4.2,4.55,4.1,5.55,5.55,3.95,5.0,F1
JamesSteinEncoder,SVM,3.95,4.6,4.05,4.15,5.2,4.4,4.45,5.2,F1
JamesSteinEncoder,DTREE,3.65,4.65,3.4,4.8,4.25,6.2,3.7,5.35,F1
JamesSteinEncoder,SGD,3.5,2.95,3.95,3.6,5.3,5.55,5.15,6.0,F1
JamesSteinEncoder,MLP,2.65,2.4,4.45,4.55,5.35,5.8,4.0,6.8,F1
,avarage,3.16,3.61,4.37,4.33,4.99,5.64,4.62,5.29,F1
,std,0.54,0.84,0.56,0.4,0.43,0.58,0.72,0.78,F1
