ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
JamesSteinEncoder,LRG,2.4,2.95,5.15,4.35,5.15,6.55,5.7,3.75,F1
JamesSteinEncoder,DTREE,3.85,4.75,3.6,5.2,4.55,6.4,3.8,3.85,F1
JamesSteinEncoder,ABC,2.8,3.3,4.7,4.6,4.8,6.05,5.5,4.25,F1
JamesSteinEncoder,KNN,3.1,4.3,4.45,4.3,5.75,5.75,4.05,4.3,F1
JamesSteinEncoder,RF,3.15,3.85,4.75,4.85,4.85,5.45,4.7,4.4,F1
JamesSteinEncoder,MLP,2.85,2.55,4.7,4.9,5.75,6.05,4.35,4.85,F1
JamesSteinEncoder,SVM,3.95,4.5,4.05,4.25,5.2,4.5,4.45,5.1,F1
JamesSteinEncoder,SGD,3.35,2.95,4.2,3.7,5.2,5.65,5.25,5.7,F1
,avarage,3.18,3.64,4.45,4.52,5.16,5.8,4.72,4.52,F1
,std,0.53,0.82,0.49,0.47,0.43,0.64,0.69,0.66,F1
