ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
JamesSteinEncoder,KNN,5.95,4.15,3.9,5.15,4.5,3.9,5.1,3.35,SPE
JamesSteinEncoder,DTREE,4.85,4.6,4.5,4.6,4.75,5.8,3.25,3.65,SPE
JamesSteinEncoder,SGD,5.85,4.05,4.1,4.4,4.2,3.6,5.9,3.9,SPE
JamesSteinEncoder,LRG,5.05,4.55,4.65,4.25,4.2,4.3,5.05,3.95,SPE
JamesSteinEncoder,SVM,7.25,5.3,3.65,4.55,3.5,3.6,4.05,4.1,SPE
JamesSteinEncoder,ABC,4.3,2.8,4.7,4.5,5.0,4.75,5.5,4.45,SPE
JamesSteinEncoder,MLP,5.05,3.75,3.55,4.55,5.65,2.95,5.85,4.65,SPE
JamesSteinEncoder,RF,4.85,4.05,4.05,4.35,5.25,4.05,4.7,4.7,SPE
,avarage,5.39,4.16,4.14,4.54,4.63,4.12,4.93,4.09,SPE
,std,0.92,0.73,0.44,0.27,0.68,0.86,0.91,0.48,SPE
