ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
MEstimateEncoder,DTREE,3.35,4.4,5.0,3.15,5.5,5.75,5.0,3.85,REC
MEstimateEncoder,RF,2.85,3.65,5.2,4.7,5.6,5.25,4.8,3.95,REC
MEstimateEncoder,LRG,2.25,3.4,4.45,4.45,5.75,5.75,6.0,3.95,REC
MEstimateEncoder,MLP,2.85,3.4,5.2,4.95,5.7,5.4,4.5,4.0,REC
MEstimateEncoder,KNN,3.1,4.4,4.85,4.8,4.75,5.25,4.75,4.1,REC
MEstimateEncoder,SGD,3.2,3.05,4.8,3.65,5.25,6.75,4.55,4.75,REC
MEstimateEncoder,ABC,2.85,3.5,5.15,4.05,5.4,5.45,4.5,5.1,REC
MEstimateEncoder,SVM,3.55,4.6,3.95,4.55,4.55,5.15,4.45,5.2,REC
,avarage,3.0,3.8,4.82,4.29,5.31,5.59,4.82,4.36,REC
,std,0.4,0.58,0.44,0.62,0.44,0.52,0.51,0.56,REC
