ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
MEstimateEncoder,MLP,5.2,4.0,4.75,4.1,4.8,4.95,4.9,3.3,SPE
MEstimateEncoder,KNN,5.6,3.4,4.45,4.8,4.3,3.7,6.05,3.7,SPE
MEstimateEncoder,ABC,4.5,3.6,4.7,4.2,5.0,4.8,5.3,3.9,SPE
MEstimateEncoder,RF,5.05,3.85,5.4,3.85,4.8,3.9,5.2,3.95,SPE
MEstimateEncoder,DTREE,4.7,4.05,4.9,3.6,5.45,4.8,4.5,4.0,SPE
MEstimateEncoder,LRG,4.8,4.4,4.85,4.4,4.55,3.55,5.15,4.3,SPE
MEstimateEncoder,SVM,6.85,4.35,4.05,4.65,3.5,3.5,4.8,4.3,SPE
MEstimateEncoder,SGD,6.25,3.35,5.3,3.55,5.25,3.5,4.45,4.35,SPE
,avarage,5.37,3.88,4.8,4.14,4.71,4.09,5.04,3.98,SPE
,std,0.82,0.4,0.43,0.46,0.61,0.65,0.51,0.36,SPE
