ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OneHotEncoder,ABC,4.65,4.6,5.2,5.0,3.3,5.35,4.25,3.65,PRE
OneHotEncoder,DTREE,4.3,4.6,3.7,3.65,3.75,6.65,5.5,3.85,PRE
OneHotEncoder,MLP,4.95,4.65,3.65,3.85,3.65,5.95,5.35,3.95,PRE
OneHotEncoder,KNN,4.8,4.3,3.3,5.2,4.0,5.0,5.3,4.1,PRE
OneHotEncoder,RF,3.8,4.7,4.65,4.3,3.75,5.0,5.2,4.6,PRE
OneHotEncoder,SVM,4.85,4.9,3.0,5.0,4.05,4.75,4.45,5.0,PRE
OneHotEncoder,LRG,3.6,5.25,3.75,2.8,3.75,5.25,6.25,5.35,PRE
OneHotEncoder,SGD,5.6,3.35,3.9,3.3,3.5,5.45,4.75,6.15,PRE
,avarage,4.57,4.54,3.89,4.14,3.72,5.42,5.13,4.58,PRE
,std,0.65,0.55,0.71,0.88,0.24,0.61,0.64,0.87,PRE
