ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OneHotEncoder,DTREE,3.5,4.9,3.7,3.5,3.8,6.65,5.8,4.15,F1
OneHotEncoder,RF,4.3,4.8,4.45,4.2,4.05,4.7,4.8,4.7,F1
OneHotEncoder,MLP,4.15,4.35,4.25,3.75,3.95,5.75,4.85,4.95,F1
OneHotEncoder,KNN,2.8,4.1,4.3,4.7,5.3,5.5,4.2,5.1,F1
OneHotEncoder,LRG,3.7,5.45,3.35,3.0,3.75,5.05,6.25,5.45,F1
OneHotEncoder,SGD,4.65,3.4,4.45,3.8,3.5,5.65,4.75,5.8,F1
OneHotEncoder,SVM,4.95,4.5,3.1,4.6,3.75,4.25,4.95,5.9,F1
OneHotEncoder,ABC,4.0,4.2,4.8,4.3,3.5,5.25,3.9,6.05,F1
,avarage,4.01,4.46,4.05,3.98,3.95,5.35,4.94,5.26,F1
,std,0.68,0.61,0.6,0.58,0.58,0.73,0.77,0.66,F1
