ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OneHotEncoder,RF,6.0,5.2,4.25,4.3,4.05,3.7,4.6,3.9,SPE
OneHotEncoder,KNN,6.9,4.2,3.2,5.1,3.7,3.8,5.1,4.0,SPE
OneHotEncoder,DTREE,4.6,4.7,3.9,4.1,3.3,5.75,5.1,4.55,SPE
OneHotEncoder,MLP,5.7,4.5,4.75,3.65,3.35,4.65,4.85,4.55,SPE
OneHotEncoder,SVM,7.45,5.25,3.0,4.1,3.45,3.8,4.25,4.7,SPE
OneHotEncoder,SGD,6.25,3.4,3.95,4.0,4.7,4.35,4.15,5.2,SPE
OneHotEncoder,ABC,5.4,4.1,4.3,4.5,3.3,4.65,4.1,5.65,SPE
OneHotEncoder,LRG,5.5,5.4,3.8,2.65,3.6,4.25,4.75,6.05,SPE
,avarage,5.98,4.59,3.89,4.05,3.68,4.37,4.61,4.82,SPE
,std,0.9,0.69,0.58,0.71,0.48,0.67,0.41,0.76,SPE
