ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OneHotEncoder,MLP,4.95,4.55,3.45,3.75,3.55,5.95,5.35,4.45,PRE
OneHotEncoder,RF,3.6,4.6,4.65,4.3,3.75,5.0,5.3,4.8,PRE
OneHotEncoder,KNN,4.5,4.2,3.4,5.1,3.9,4.8,5.2,4.9,PRE
OneHotEncoder,ABC,4.4,4.3,4.9,4.7,3.2,4.95,4.1,5.45,PRE
OneHotEncoder,SVM,5.05,4.7,2.9,5.0,4.1,4.65,4.15,5.45,PRE
OneHotEncoder,LRG,3.65,5.4,3.6,2.85,3.6,5.2,6.2,5.5,PRE
OneHotEncoder,DTREE,4.1,4.3,3.3,3.45,3.45,6.15,5.3,5.95,PRE
OneHotEncoder,SGD,5.55,3.4,3.85,3.4,3.3,5.45,4.65,6.4,PRE
,avarage,4.48,4.43,3.76,4.07,3.61,5.27,5.03,5.36,PRE
,std,0.69,0.56,0.69,0.83,0.3,0.54,0.7,0.63,PRE
