ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OrdinalEncoder,SVM,3.35,4.25,4.15,4.65,5.3,5.5,4.25,4.55,REC
OrdinalEncoder,DTREE,2.3,3.75,4.0,4.85,4.05,6.85,5.55,4.65,REC
OrdinalEncoder,RF,2.35,2.85,4.6,5.4,5.85,6.3,3.65,5.0,REC
OrdinalEncoder,ABC,3.45,4.2,4.15,4.4,4.3,6.05,4.05,5.4,REC
OrdinalEncoder,LRG,1.9,2.4,4.65,4.8,5.5,5.5,5.65,5.6,REC
OrdinalEncoder,SGD,3.8,3.2,4.6,3.95,5.05,5.65,4.0,5.75,REC
OrdinalEncoder,KNN,3.0,4.7,4.85,3.7,4.35,6.1,3.5,5.8,REC
OrdinalEncoder,MLP,1.9,2.6,4.4,4.95,4.45,6.15,5.55,6.0,REC
,avarage,2.76,3.49,4.43,4.59,4.86,6.01,4.52,5.34,REC
,std,0.74,0.85,0.3,0.55,0.66,0.46,0.91,0.55,REC
