ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OrdinalEncoder,SVM,6.95,5.25,3.1,5.05,4.1,4.5,3.05,4.0,SPE
OrdinalEncoder,MLP,4.65,3.25,4.7,4.65,4.1,5.2,5.35,4.1,SPE
OrdinalEncoder,ABC,5.95,4.65,3.65,3.85,3.45,4.35,5.75,4.35,SPE
OrdinalEncoder,KNN,5.9,3.8,4.15,4.45,3.35,3.9,6.05,4.4,SPE
OrdinalEncoder,SGD,5.9,3.7,3.7,5.0,4.7,4.4,4.1,4.5,SPE
OrdinalEncoder,RF,4.35,3.75,4.65,5.0,4.45,4.45,4.8,4.55,SPE
OrdinalEncoder,LRG,4.6,3.7,4.55,4.7,4.0,3.6,5.05,5.8,SPE
OrdinalEncoder,DTREE,3.4,3.35,4.15,4.8,3.1,5.4,5.5,6.3,SPE
,avarage,5.21,3.93,4.08,4.69,3.91,4.48,4.96,4.75,SPE
,std,1.15,0.68,0.56,0.4,0.56,0.6,0.98,0.83,SPE
