ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OrdinalEncoder,SVM,4.55,4.35,3.85,5.0,4.45,5.45,3.85,4.5,PRE
OrdinalEncoder,DTREE,2.9,3.3,3.9,4.8,3.9,6.5,5.95,4.75,PRE
OrdinalEncoder,MLP,3.25,2.6,5.15,4.7,4.4,5.65,5.4,4.85,PRE
OrdinalEncoder,SGD,5.0,3.9,3.8,3.0,5.3,5.8,4.2,5.0,PRE
OrdinalEncoder,RF,2.45,2.95,4.95,5.0,5.25,6.25,3.9,5.25,PRE
OrdinalEncoder,LRG,2.25,2.35,4.7,5.15,5.25,5.35,5.6,5.35,PRE
OrdinalEncoder,KNN,3.9,3.3,4.85,4.75,3.75,5.4,4.65,5.4,PRE
OrdinalEncoder,ABC,4.15,4.6,4.15,4.05,3.65,5.85,4.15,5.4,PRE
,avarage,3.56,3.42,4.42,4.56,4.49,5.78,4.71,5.06,PRE
,std,1.0,0.81,0.55,0.71,0.7,0.41,0.83,0.34,PRE
