ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
SumEncoder,RF,3.75,4.6,4.6,3.8,5.05,4.7,4.75,4.75,REC
SumEncoder,DTREE,3.85,5.7,3.1,3.45,4.85,5.2,4.8,5.05,REC
SumEncoder,SGD,4.3,3.7,4.45,3.95,4.0,5.6,4.7,5.3,REC
SumEncoder,ABC,3.55,4.25,3.7,4.0,5.35,4.8,4.5,5.85,REC
SumEncoder,SVM,3.7,4.15,3.6,4.0,5.05,5.6,3.8,6.1,REC
SumEncoder,LRG,2.45,3.6,4.15,4.5,4.15,6.4,4.5,6.25,REC
SumEncoder,KNN,2.9,4.05,5.05,3.6,5.0,5.95,3.15,6.3,REC
SumEncoder,MLP,3.7,4.1,3.75,3.55,4.45,5.75,4.2,6.5,REC
,avarage,3.52,4.27,4.05,3.86,4.74,5.5,4.3,5.76,REC
,std,0.58,0.66,0.63,0.34,0.48,0.58,0.57,0.65,REC
