ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
SumEncoder,RF,4.25,4.65,4.4,3.9,5.0,4.9,4.9,4.0,F1
SumEncoder,SVM,4.75,4.65,3.55,3.75,4.65,5.25,4.3,5.1,F1
SumEncoder,DTREE,3.85,5.15,3.35,3.55,4.55,5.35,4.95,5.25,F1
SumEncoder,LRG,2.7,3.95,4.0,4.6,4.25,6.2,4.5,5.8,F1
SumEncoder,ABC,4.05,4.05,3.7,4.1,4.85,4.45,4.85,5.95,F1
SumEncoder,SGD,4.4,3.4,4.55,3.7,3.7,5.7,4.4,6.15,F1
SumEncoder,KNN,3.2,4.2,5.0,3.6,4.8,5.7,3.3,6.2,F1
SumEncoder,MLP,4.05,4.0,3.95,3.5,4.75,5.55,4.0,6.2,F1
,avarage,3.91,4.26,4.06,3.84,4.57,5.39,4.4,5.58,F1
,std,0.66,0.54,0.55,0.37,0.42,0.54,0.55,0.77,F1
