ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
TargetEncoder,ABC,2.85,4.2,4.9,4.9,4.35,4.75,5.7,4.35,REC
TargetEncoder,RF,2.75,3.8,4.65,4.7,5.15,5.5,4.85,4.6,REC
TargetEncoder,KNN,3.0,4.25,5.3,4.7,4.85,5.05,3.75,5.1,REC
TargetEncoder,SVM,3.75,4.55,4.2,3.9,4.9,4.7,4.7,5.3,REC
TargetEncoder,LRG,2.4,3.35,3.95,3.85,5.3,5.85,5.85,5.45,REC
TargetEncoder,MLP,2.8,2.85,4.7,4.35,4.45,6.6,4.35,5.9,REC
TargetEncoder,DTREE,3.45,4.25,3.8,4.8,4.15,4.85,4.7,6.0,REC
TargetEncoder,SGD,3.05,3.0,4.95,2.2,5.0,5.6,5.9,6.3,REC
,avarage,3.01,3.78,4.56,4.18,4.77,5.36,4.98,5.38,REC
,std,0.42,0.64,0.52,0.89,0.41,0.66,0.78,0.68,REC
