ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
TargetEncoder,DTREE,3.65,4.45,4.1,5.0,4.35,5.15,5.05,4.25,REC
TargetEncoder,RF,2.75,3.8,4.45,4.7,5.2,5.4,4.85,4.85,REC
TargetEncoder,KNN,2.95,4.05,5.4,4.8,4.75,4.95,3.75,5.35,REC
TargetEncoder,ABC,2.75,4.1,4.75,4.7,4.25,4.55,5.5,5.4,REC
TargetEncoder,SVM,3.75,4.35,4.0,4.0,4.9,4.6,4.6,5.8,REC
TargetEncoder,MLP,2.7,2.85,4.8,4.25,4.45,6.55,4.55,5.85,REC
TargetEncoder,LRG,2.3,3.35,3.75,3.8,5.2,5.8,5.7,6.1,REC
TargetEncoder,SGD,3.15,2.9,5.0,2.15,5.15,5.55,6.0,6.1,REC
,avarage,3.0,3.73,4.53,4.18,4.78,5.32,5.0,5.46,REC
,std,0.49,0.63,0.56,0.92,0.39,0.66,0.73,0.65,REC
