ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
TargetEncoder,KNN,6.1,3.9,4.45,5.1,4.25,2.85,5.65,3.7,SPE
TargetEncoder,LRG,5.65,4.9,4.1,3.9,4.1,4.1,5.4,3.85,SPE
TargetEncoder,MLP,5.6,4.25,4.45,4.45,4.1,4.3,4.45,4.4,SPE
TargetEncoder,SVM,7.35,4.95,4.25,4.1,3.4,3.2,4.35,4.4,SPE
TargetEncoder,ABC,5.1,3.5,3.95,4.1,4.05,4.2,6.4,4.7,SPE
TargetEncoder,RF,4.9,4.2,3.8,4.2,4.8,3.95,5.2,4.95,SPE
TargetEncoder,SGD,6.4,4.1,4.1,4.1,3.95,4.25,4.15,4.95,SPE
TargetEncoder,DTREE,5.25,4.35,3.45,5.3,3.7,4.25,4.4,5.3,SPE
,avarage,5.79,4.27,4.07,4.41,4.04,3.89,5.0,4.53,SPE
,std,0.8,0.48,0.34,0.52,0.41,0.55,0.79,0.56,SPE
