ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
BinaryEncoder,abalone-3_vs_11,KNN,0.8125599999999998,7.0,0.8103,8.0,0.99774,3.0,0.99774,3.0,1.0,1.0,0.98432,5.0,0.99774,3.0,0.95524,6.0,aspect_ratio,1.0,IBA
BinaryEncoder,kddcup-land_vs_portsweep,KNN,0.9979,4.0,0.9979,4.0,0.9979,4.0,0.9979,4.0,0.9979,4.0,0.9979,4.0,0.9979,4.0,0.9674600000000002,8.0,aspect_ratio,1.0,IBA
BinaryEncoder,dataset_31_credit-g,KNN,0.3165,8.0,0.33578,6.0,0.36908,4.0,0.4087400000000001,1.0,0.38666,2.0,0.3705,3.0,0.31666,7.0,0.3376,5.0,aspect_ratio,1.0,IBA
BinaryEncoder,dresses-sales,KNN,0.27092,2.0,0.26688,3.0,0.26528,4.0,0.25062,8.0,0.26128,6.0,0.26392000000000004,5.0,0.26016,7.0,0.33524000000000004,1.0,aspect_ratio,1.0,IBA
BinaryEncoder,dermatology,KNN,0.72142,4.0,0.7278600000000001,3.0,0.7325199999999998,2.0,0.6847000000000001,8.0,0.7514399999999999,1.0,0.7007399999999999,7.0,0.7132400000000001,5.0,0.7089000000000001,6.0,aspect_ratio,1.0,IBA
BinaryEncoder,thyroid-hypothyroid,KNN,0.77898,8.0,0.8885200000000001,4.0,0.88918,3.0,0.8788599999999999,5.0,0.8738600000000001,7.0,0.8744200000000001,6.0,0.89094,2.0,0.90948,1.0,aspect_ratio,1.0,IBA
BinaryEncoder,credit-approval,KNN,0.50124,5.0,0.52082,2.0,0.4794200000000001,8.0,0.49976000000000004,6.0,0.502,4.0,0.5114,3.0,0.4935,7.0,0.5273000000000001,1.0,aspect_ratio,1.0,IBA
BinaryEncoder,horse-colic-surgical,KNN,0.57444,3.0,0.59596,2.0,0.5485,6.0,0.5614600000000001,5.0,0.5033000000000001,8.0,0.5664200000000001,4.0,0.53996,7.0,0.60402,1.0,aspect_ratio,1.0,IBA
BinaryEncoder,heart,KNN,0.31703999999999993,7.0,0.32638,5.0,0.33202,3.0,0.33164000000000005,4.0,0.34452,2.0,0.35266,1.0,0.31368,8.0,0.32236,6.0,aspect_ratio,1.0,IBA
BinaryEncoder,hepatitis,KNN,0.0,8.0,0.23992,5.0,0.26672,3.0,0.17968,7.0,0.35554,1.0,0.29818,2.0,0.21574,6.0,0.2544,4.0,aspect_ratio,1.0,IBA
