ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
BinaryEncoder,abalone-3_vs_11,RF,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.99552,7.0,0.9985,6.0,0.98698,8.0,aspect_ratio,1.0,PRE
BinaryEncoder,kddcup-land_vs_portsweep,RF,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.99924,8.0,1.0,4.0,aspect_ratio,1.0,PRE
BinaryEncoder,dataset_31_credit-g,RF,0.73116,2.0,0.73478,1.0,0.7121599999999999,4.0,0.72032,3.0,0.70514,5.0,0.6984999999999999,6.0,0.6927200000000001,8.0,0.6969799999999999,7.0,aspect_ratio,1.0,PRE
BinaryEncoder,dresses-sales,RF,0.5740000000000001,1.0,0.54296,3.0,0.5202,8.0,0.5220600000000001,7.0,0.5364399999999999,4.0,0.5349,5.0,0.5227,6.0,0.57038,2.0,aspect_ratio,1.0,PRE
BinaryEncoder,dermatology,RF,0.97798,3.0,0.98216,2.0,0.97454,8.0,0.97624,6.0,0.97568,7.0,0.97726,5.0,0.9776,4.0,0.98434,1.0,aspect_ratio,1.0,PRE
BinaryEncoder,thyroid-hypothyroid,RF,0.98814,4.0,0.98754,6.0,0.98802,5.0,0.9892800000000002,2.0,0.98894,3.0,0.98384,8.0,0.99088,1.0,0.98676,7.0,aspect_ratio,1.0,PRE
BinaryEncoder,credit-approval,RF,0.8756200000000002,1.0,0.86724,5.0,0.8705200000000001,4.0,0.8629199999999999,6.0,0.87292,3.0,0.85998,8.0,0.8736799999999999,2.0,0.86134,7.0,aspect_ratio,1.0,PRE
BinaryEncoder,horse-colic-surgical,RF,0.8697600000000001,3.0,0.8646199999999998,4.0,0.8609199999999999,6.0,0.87164,2.0,0.8641200000000001,5.0,0.8597799999999999,7.0,0.8502200000000001,8.0,0.8748199999999999,1.0,aspect_ratio,1.0,PRE
BinaryEncoder,heart,RF,0.8123400000000001,4.0,0.8152200000000001,2.0,0.7985399999999999,5.0,0.8142400000000001,3.0,0.78698,8.0,0.7982600000000001,6.0,0.7963199999999999,7.0,0.82004,1.0,aspect_ratio,1.0,PRE
BinaryEncoder,hepatitis,RF,0.8399999999999999,3.0,0.8186,7.0,0.8052199999999999,8.0,0.8474200000000001,2.0,0.8316000000000001,4.0,0.8230200000000001,6.0,0.8521599999999999,1.0,0.82576,5.0,aspect_ratio,1.0,PRE
