ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
BinaryEncoder,abalone-3_vs_11,SGD,0.8706200000000001,7.0,0.9998799999999999,1.0,0.99976,4.0,0.99982,2.5,0.9997,5.0,0.9346,6.0,0.99982,2.5,0.8704799999999999,8.0,solid_angle,0.5,SPE
BinaryEncoder,kddcup-land_vs_portsweep,SGD,0.8628199999999999,6.0,0.99998,1.0,0.90186,4.5,0.90186,4.5,0.6666000000000001,8.0,0.8628,7.0,0.9509,3.0,0.9989600000000001,2.0,solid_angle,0.5,SPE
BinaryEncoder,dataset_31_credit-g,SGD,0.4787199999999999,8.0,0.57496,6.0,0.6755399999999999,2.0,0.6867000000000001,1.0,0.59132,4.0,0.6133199999999999,3.0,0.5826600000000001,5.0,0.52458,7.0,solid_angle,0.5,SPE
BinaryEncoder,dresses-sales,SGD,0.5385,3.0,0.52584,6.0,0.51298,8.0,0.53004,4.0,0.56074,1.0,0.55032,2.0,0.52136,7.0,0.52588,5.0,solid_angle,0.5,SPE
BinaryEncoder,dermatology,SGD,0.92904,4.0,0.9668600000000002,1.0,0.95654,2.0,0.9258200000000001,5.0,0.94006,3.0,0.9029200000000002,7.0,0.9109999999999999,6.0,0.8981,8.0,solid_angle,0.5,SPE
BinaryEncoder,thyroid-hypothyroid,SGD,0.7278399999999999,8.0,0.92532,5.0,0.9473799999999999,4.0,0.8981199999999999,6.0,0.9647,2.0,0.98292,1.0,0.95182,3.0,0.8873599999999999,7.0,solid_angle,0.5,SPE
BinaryEncoder,credit-approval,SGD,0.56798,6.0,0.6206200000000001,2.0,0.5985799999999999,4.0,0.58602,5.0,0.6600999999999999,1.0,0.6083000000000001,3.0,0.5424599999999999,8.0,0.5609400000000001,7.0,solid_angle,0.5,SPE
BinaryEncoder,horse-colic-surgical,SGD,0.47,3.0,0.42336,5.0,0.4166800000000001,6.5,0.52332,1.0,0.36336,8.0,0.47,3.0,0.47,3.0,0.4166800000000001,6.5,solid_angle,0.5,SPE
BinaryEncoder,heart,SGD,0.5111199999999999,3.5,0.51112,3.5,0.4863,6.0,0.47924,8.0,0.48592,7.0,0.5304,2.0,0.5333600000000001,1.0,0.48888,5.0,solid_angle,0.5,SPE
BinaryEncoder,hepatitis,SGD,0.4168,7.0,0.46596000000000004,6.0,0.7239,2.0,0.49724,5.0,0.27592,8.0,0.7277600000000001,1.0,0.65974,4.0,0.69438,3.0,solid_angle,0.5,SPE
