ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
BinaryEncoder,abalone-3_vs_11,SGD,0.8708400000000001,8.0,0.9955,1.0,0.99098,4.0,0.99324,2.5,0.98874,5.0,0.9134399999999999,7.0,0.99324,2.5,0.9731,6.0,solid_angle,1.0,IBA
BinaryEncoder,kddcup-land_vs_portsweep,SGD,0.8702400000000001,6.0,0.9989399999999999,1.0,0.90376,4.5,0.90376,4.5,0.6702400000000001,8.0,0.8691800000000001,7.0,0.9515,2.0,0.9403,3.0,solid_angle,1.0,IBA
BinaryEncoder,dataset_31_credit-g,SGD,0.22648000000000001,8.0,0.3618,4.0,0.35146,5.0,0.40644,1.0,0.2732,7.0,0.34488,6.0,0.37344,2.0,0.37046,3.0,solid_angle,1.0,IBA
BinaryEncoder,dresses-sales,SGD,0.25032,3.0,0.20444,5.0,0.1893,6.0,0.18486,7.0,0.2577200000000001,2.0,0.27476,1.0,0.16541999999999998,8.0,0.20658000000000004,4.0,solid_angle,1.0,IBA
BinaryEncoder,dermatology,SGD,0.50302,6.0,0.79132,1.0,0.75564,2.0,0.53168,5.0,0.67152,3.0,0.4113,8.0,0.44292,7.0,0.5865400000000001,4.0,solid_angle,1.0,IBA
BinaryEncoder,thyroid-hypothyroid,SGD,0.7167600000000001,8.0,0.8225600000000001,7.0,0.90184,1.0,0.86884,5.0,0.8814399999999999,3.0,0.8845600000000001,2.0,0.867,6.0,0.8744200000000001,4.0,solid_angle,1.0,IBA
BinaryEncoder,credit-approval,SGD,0.27112,8.0,0.3602,2.0,0.33746,5.0,0.31358,6.0,0.41904,1.0,0.3512000000000001,4.0,0.27166,7.0,0.35714,3.0,solid_angle,1.0,IBA
BinaryEncoder,horse-colic-surgical,SGD,0.0,4.5,0.0,4.5,0.0,4.5,0.0,4.5,0.0,4.5,0.0,4.5,0.0,4.5,0.0,4.5,solid_angle,1.0,IBA
BinaryEncoder,heart,SGD,0.0,5.5,0.0,5.5,0.014580000000000001,2.0,0.03684,1.0,0.0,5.5,0.0,5.5,0.0,5.5,0.0,5.5,solid_angle,1.0,IBA
BinaryEncoder,hepatitis,SGD,0.23680000000000004,6.0,0.18734,7.0,0.35326,3.0,0.2562,5.0,0.09562,8.0,0.42,1.0,0.38052,2.0,0.30386,4.0,solid_angle,1.0,IBA
