ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
CatBoostEncoder,abalone-3_vs_11,SGD,0.99612,6.0,0.9976,4.0,1.0,1.5,1.0,1.5,0.9980399999999999,3.0,0.98864,7.0,0.997,5.0,0.98582,8.0,aspect_ratio,0.5,PRE
CatBoostEncoder,kddcup-land_vs_portsweep,SGD,0.99718,5.5,0.99924,1.0,0.99738,3.5,0.99738,3.5,0.9897,7.0,0.99718,5.5,0.99744,2.0,0.7913399999999999,8.0,aspect_ratio,0.5,PRE
CatBoostEncoder,dataset_31_credit-g,SGD,0.6772600000000001,3.0,0.7193400000000001,2.0,0.6410399999999999,4.0,0.61934,7.0,0.60452,8.0,0.62356,6.0,0.72034,1.0,0.6268600000000001,5.0,aspect_ratio,0.5,PRE
CatBoostEncoder,dresses-sales,SGD,0.58236,3.0,0.57344,4.0,0.6027,1.0,0.45408,8.0,0.4822,6.0,0.56592,5.0,0.5848,2.0,0.47682,7.0,aspect_ratio,0.5,PRE
CatBoostEncoder,dermatology,SGD,0.7269599999999999,2.0,0.8417200000000001,1.0,0.6645,5.0,0.5828800000000001,7.0,0.6352,6.0,0.5559999999999999,8.0,0.6729200000000001,4.0,0.6785399999999999,3.0,aspect_ratio,0.5,PRE
CatBoostEncoder,thyroid-hypothyroid,SGD,0.97714,3.0,0.97012,7.0,0.97894,1.0,0.97774,2.0,0.97542,4.0,0.96814,8.0,0.9741799999999999,5.0,0.9738,6.0,aspect_ratio,0.5,PRE
CatBoostEncoder,credit-approval,SGD,0.5828800000000001,7.0,0.62034,1.0,0.6181399999999999,2.0,0.59672,6.0,0.60588,4.0,0.5999800000000001,5.0,0.5731200000000001,8.0,0.6112799999999999,3.0,aspect_ratio,0.5,PRE
CatBoostEncoder,horse-colic-surgical,SGD,0.2987,5.0,0.34538,3.0,0.2987,5.0,0.19202,8.0,0.2987,5.0,0.35204,1.5,0.35204,1.5,0.2387,7.0,aspect_ratio,0.5,PRE
CatBoostEncoder,heart,SGD,0.24194,6.5,0.24194,6.5,0.29064,3.0,0.24194,6.5,0.26416,4.0,0.34218000000000004,1.0,0.24194,6.5,0.30768,2.0,aspect_ratio,0.5,PRE
CatBoostEncoder,hepatitis,SGD,0.7138800000000001,6.0,0.73298,4.0,0.8116399999999999,1.0,0.69506,7.0,0.7898000000000001,2.0,0.73134,5.0,0.764,3.0,0.6565999999999999,8.0,aspect_ratio,0.5,PRE
