ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
CatBoostEncoder,abalone-3_vs_11,SGD,0.99604,4.0,0.996,5.5,1.0,1.5,1.0,1.5,0.99802,3.0,0.98006,7.0,0.996,5.5,0.94428,8.0,solid_angle,0.5,REC
CatBoostEncoder,kddcup-land_vs_portsweep,SGD,0.99718,3.5,0.9990600000000001,1.0,0.99718,3.5,0.99718,3.5,0.9934,7.0,0.99718,3.5,0.9962200000000001,6.0,0.9397,8.0,solid_angle,0.5,REC
CatBoostEncoder,dataset_31_credit-g,SGD,0.6769999999999999,2.0,0.706,1.0,0.6050000000000001,4.0,0.4380000000000001,8.0,0.5329999999999999,6.0,0.6599999999999999,3.0,0.5740000000000001,5.0,0.46799999999999997,7.0,solid_angle,0.5,REC
CatBoostEncoder,dresses-sales,SGD,0.584,1.0,0.552,3.0,0.534,4.0,0.53,5.0,0.47,8.0,0.512,7.0,0.52,6.0,0.578,2.0,solid_angle,0.5,REC
CatBoostEncoder,dermatology,SGD,0.5760400000000001,4.0,0.8281200000000001,1.0,0.5676800000000001,6.0,0.57096,5.0,0.6096600000000001,3.0,0.5251,8.0,0.70554,2.0,0.54686,7.0,solid_angle,0.5,REC
CatBoostEncoder,thyroid-hypothyroid,SGD,0.97438,2.0,0.89692,8.0,0.9728,3.0,0.97596,1.0,0.95888,4.0,0.9399200000000001,7.0,0.9494,6.0,0.95164,5.0,solid_angle,0.5,REC
CatBoostEncoder,credit-approval,SGD,0.5710000000000001,4.0,0.5971,1.0,0.5927399999999999,2.0,0.56666,5.5,0.5768199999999999,3.0,0.5666599999999999,5.5,0.5377,8.0,0.5579799999999999,7.0,solid_angle,0.5,REC
CatBoostEncoder,horse-colic-surgical,SGD,0.53,6.0,0.5766399999999999,3.5,0.53,6.0,0.42336,8.0,0.53,6.0,0.58332,1.5,0.58332,1.5,0.5766399999999999,3.5,solid_angle,0.5,REC
CatBoostEncoder,heart,SGD,0.4888800000000001,6.0,0.48888,6.0,0.48888,6.0,0.48888,6.0,0.51112,3.0,0.54076,2.0,0.48888,6.0,0.5593000000000001,1.0,solid_angle,0.5,REC
CatBoostEncoder,hepatitis,SGD,0.7290399999999999,3.0,0.7097,4.0,0.45808,8.0,0.76776,2.0,0.7742,1.0,0.56128,6.0,0.5806399999999999,5.0,0.5032400000000001,7.0,solid_angle,0.5,REC
