ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
CatBoostEncoder,abalone-3_vs_11,ABC,0.99896,4.5,1.0,1.5,0.99896,4.5,0.99896,4.5,1.0,1.5,0.96126,8.0,0.99896,4.5,0.99792,7.0,solid_angle,7.0,GEO
CatBoostEncoder,kddcup-land_vs_portsweep,ABC,0.9995200000000001,4.5,1.0,1.0,0.9995200000000001,4.5,0.9995200000000001,4.5,0.9995200000000001,4.5,0.9995200000000001,4.5,0.9995200000000001,4.5,0.99808,8.0,solid_angle,7.0,GEO
CatBoostEncoder,dataset_31_credit-g,ABC,0.6046600000000001,8.0,0.61342,5.0,0.63138,2.0,0.6623,1.0,0.6140000000000001,4.0,0.60938,7.0,0.6210600000000001,3.0,0.6129399999999999,6.0,solid_angle,7.0,GEO
CatBoostEncoder,dresses-sales,ABC,0.54576,3.0,0.5344599999999999,6.0,0.5042800000000001,8.0,0.5470600000000001,2.0,0.54352,4.0,0.52152,7.0,0.5424399999999999,5.0,0.5517399999999999,1.0,solid_angle,7.0,GEO
CatBoostEncoder,dermatology,ABC,0.61098,1.0,0.38166,5.0,0.27891999999999995,7.0,0.23754,8.0,0.34022,6.0,0.50376,4.0,0.5961,2.0,0.5119999999999999,3.0,solid_angle,7.0,GEO
CatBoostEncoder,thyroid-hypothyroid,ABC,0.93268,2.0,0.9511,1.0,0.34454,6.0,0.361,5.0,0.33799999999999997,7.0,0.28586,8.0,0.48954,3.0,0.45274,4.0,solid_angle,7.0,GEO
CatBoostEncoder,credit-approval,ABC,0.8371799999999999,7.0,0.8426199999999999,4.0,0.8425,5.0,0.83654,8.0,0.83844,6.0,0.8514799999999999,2.0,0.8441799999999999,3.0,0.8535,1.0,solid_angle,7.0,GEO
CatBoostEncoder,horse-colic-surgical,ABC,0.8053600000000001,4.0,0.78114,8.0,0.8172799999999999,2.0,0.7998,6.0,0.8233,1.0,0.78978,7.0,0.8090399999999999,3.0,0.8032199999999999,5.0,solid_angle,7.0,GEO
CatBoostEncoder,heart,ABC,0.73602,8.0,0.7737400000000001,7.0,0.8278000000000001,2.0,0.81684,3.0,0.8415199999999998,1.0,0.8160999999999999,4.0,0.8021,5.0,0.79256,6.0,solid_angle,7.0,GEO
CatBoostEncoder,hepatitis,ABC,0.65176,3.0,0.6833199999999999,1.0,0.63748,6.0,0.58858,8.0,0.60958,7.0,0.6449600000000001,4.0,0.6793800000000001,2.0,0.6384000000000001,5.0,solid_angle,7.0,GEO
