ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
GLMMEncoder,abalone-3_vs_11,RF,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.9920200000000001,7.0,0.998,6.0,0.9801,8.0,solid_angle,1.0,REC
GLMMEncoder,kddcup-land_vs_portsweep,RF,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.9990600000000001,8.0,1.0,4.0,solid_angle,1.0,REC
GLMMEncoder,dataset_31_credit-g,RF,0.74,2.0,0.748,1.0,0.691,5.0,0.701,3.0,0.6920000000000001,4.0,0.556,8.0,0.63,6.0,0.5780000000000001,7.0,solid_angle,1.0,REC
GLMMEncoder,dresses-sales,RF,0.584,4.5,0.5399999999999999,8.0,0.578,6.0,0.596,2.0,0.5760000000000001,7.0,0.584,4.5,0.594,3.0,0.606,1.0,solid_angle,1.0,REC
GLMMEncoder,dermatology,RF,0.97812,2.5,0.9809,1.0,0.97812,2.5,0.97542,5.0,0.97546,4.0,0.9726799999999999,7.0,0.97272,6.0,0.9426,8.0,solid_angle,1.0,REC
GLMMEncoder,thyroid-hypothyroid,RF,0.9883,2.0,0.98672,7.0,0.98736,4.5,0.98704,6.0,0.98798,3.0,0.9825799999999999,8.0,0.9914799999999999,1.0,0.98736,4.5,solid_angle,1.0,REC
GLMMEncoder,credit-approval,RF,0.8724799999999999,1.0,0.8637799999999999,4.0,0.8564999999999999,8.0,0.8681199999999999,2.0,0.8623399999999999,6.0,0.8666799999999999,3.0,0.8637600000000001,5.0,0.8594200000000001,7.0,solid_angle,1.0,REC
GLMMEncoder,horse-colic-surgical,RF,0.8666799999999999,3.0,0.8633199999999999,4.0,0.86,5.0,0.87334,1.0,0.85334,6.0,0.8700200000000001,2.0,0.8466600000000001,7.5,0.8466600000000001,7.5,solid_angle,1.0,REC
GLMMEncoder,heart,RF,0.8111200000000001,2.0,0.8148199999999999,1.0,0.7592800000000001,4.0,0.75926,5.5,0.75926,5.5,0.7481399999999999,7.0,0.74074,8.0,0.78518,3.0,solid_angle,1.0,REC
GLMMEncoder,hepatitis,RF,0.8516199999999999,1.0,0.8193600000000001,4.0,0.8258200000000001,3.0,0.8064599999999998,8.0,0.8129200000000001,6.0,0.8322600000000001,2.0,0.8129,7.0,0.8129399999999999,5.0,solid_angle,1.0,REC
