ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
HashingEncoder,abalone-3_vs_11,ABC,0.99774,4.5,1.0,2.0,1.0,2.0,1.0,2.0,0.93752,8.0,0.9955,6.5,0.99774,4.5,0.9955,6.5,aspect_ratio,7.0,IBA
HashingEncoder,kddcup-land_vs_portsweep,ABC,0.9989399999999999,3.5,1.0,1.5,0.90614,6.5,0.90614,6.5,0.90614,6.5,0.90614,6.5,0.9989399999999999,3.5,1.0,1.5,aspect_ratio,7.0,IBA
HashingEncoder,dataset_31_credit-g,ABC,0.3733400000000001,2.0,0.38376,1.0,0.26086,4.0,0.25551999999999997,6.0,0.28198,3.0,0.25684,5.0,0.2343,7.0,0.17737999999999998,8.0,aspect_ratio,7.0,IBA
HashingEncoder,dresses-sales,ABC,0.30118,1.0,0.28698,3.0,0.26714000000000004,8.0,0.28684000000000004,4.0,0.28348,6.0,0.28638,5.0,0.29,2.0,0.28175999999999995,7.0,aspect_ratio,7.0,IBA
HashingEncoder,dermatology,ABC,0.5641999999999999,1.0,0.3275,2.0,0.28132,4.0,0.27008000000000004,6.0,0.26196,8.0,0.26468,7.0,0.27224000000000004,5.0,0.28622000000000003,3.0,aspect_ratio,7.0,IBA
HashingEncoder,thyroid-hypothyroid,ABC,0.87984,7.0,0.91008,3.0,0.9243,1.0,0.91644,2.0,0.8946200000000001,5.0,0.87324,8.0,0.9065799999999999,4.0,0.8907399999999999,6.0,aspect_ratio,7.0,IBA
HashingEncoder,credit-approval,ABC,0.7014199999999999,2.0,0.7105199999999999,1.0,0.6301399999999999,8.0,0.64612,5.0,0.64264,6.0,0.63036,7.0,0.654,4.0,0.6611600000000001,3.0,aspect_ratio,7.0,IBA
HashingEncoder,horse-colic-surgical,ABC,0.6542600000000001,1.0,0.61356,2.0,0.50156,8.0,0.51436,7.0,0.53108,4.0,0.5229799999999999,5.0,0.5182,6.0,0.57424,3.0,aspect_ratio,7.0,IBA
HashingEncoder,heart,ABC,0.54506,3.0,0.6017399999999999,1.0,0.5347,4.0,0.5283800000000001,6.0,0.51726,7.0,0.5328,5.0,0.48216000000000003,8.0,0.5551600000000001,2.0,aspect_ratio,7.0,IBA
HashingEncoder,hepatitis,ABC,0.44758,7.0,0.4845,5.0,0.46728,6.0,0.42791999999999997,8.0,0.5108199999999999,1.0,0.50438,4.0,0.5074,2.0,0.5049,3.0,aspect_ratio,7.0,IBA
