ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
HashingEncoder,abalone-3_vs_11,KNN,0.9934200000000001,6.0,0.99156,8.0,0.99814,3.0,0.99814,3.0,1.0,1.0,0.9927799999999999,7.0,0.99814,3.0,0.99464,5.0,solid_angle,7.0,F1
HashingEncoder,kddcup-land_vs_portsweep,KNN,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9964,8.0,solid_angle,7.0,F1
HashingEncoder,dataset_31_credit-g,KNN,0.70208,2.0,0.7062000000000002,1.0,0.5978,7.0,0.5990399999999999,5.0,0.5986800000000001,6.0,0.60382,4.0,0.5891399999999999,8.0,0.61292,3.0,solid_angle,7.0,F1
HashingEncoder,dresses-sales,KNN,0.55408,6.0,0.5079400000000001,8.0,0.56466,5.0,0.5342600000000001,7.0,0.5655600000000001,4.0,0.56706,3.0,0.5878,1.0,0.58524,2.0,solid_angle,7.0,F1
HashingEncoder,dermatology,KNN,0.7618400000000001,2.0,0.7730400000000001,1.0,0.4534200000000001,4.0,0.45393999999999995,3.0,0.44322,5.0,0.43426,6.0,0.42506000000000005,8.0,0.4259000000000001,7.0,solid_angle,7.0,F1
HashingEncoder,thyroid-hypothyroid,KNN,0.98214,1.0,0.97308,6.0,0.97414,4.0,0.97348,5.0,0.97444,3.0,0.94298,8.0,0.97756,2.0,0.97024,7.0,solid_angle,7.0,F1
HashingEncoder,credit-approval,KNN,0.7148599999999999,3.0,0.722,2.0,0.6802600000000001,6.0,0.6859999999999999,5.0,0.67614,7.0,0.6699999999999999,8.0,0.6893600000000001,4.0,0.7229,1.0,solid_angle,7.0,F1
HashingEncoder,horse-colic-surgical,KNN,0.80282,1.0,0.7924599999999999,2.0,0.7653200000000001,4.0,0.7568199999999999,5.0,0.73228,7.0,0.7550399999999999,6.0,0.7313400000000001,8.0,0.78056,3.0,solid_angle,7.0,F1
HashingEncoder,heart,KNN,0.5734800000000001,2.0,0.5769599999999999,1.0,0.5362600000000001,8.0,0.54468,6.0,0.5560799999999999,5.0,0.5445,7.0,0.5668200000000001,4.0,0.5703999999999999,3.0,solid_angle,7.0,F1
HashingEncoder,hepatitis,KNN,0.6793600000000001,1.0,0.58162,8.0,0.6286799999999999,5.0,0.66494,2.0,0.6173,6.0,0.6313,4.0,0.6385799999999999,3.0,0.5827,7.0,solid_angle,7.0,F1
