ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
HashingEncoder,abalone-3_vs_11,SGD,0.8706200000000001,8.0,0.9998799999999999,3.5,0.9999399999999999,1.5,0.9999399999999999,1.5,0.9998799999999999,3.5,0.99898,7.0,0.99964,5.0,0.9990400000000002,6.0,solid_angle,7.0,SPE
HashingEncoder,kddcup-land_vs_portsweep,SGD,0.8628199999999999,8.0,0.99998,2.0,0.95092,5.5,0.99998,2.0,0.95092,5.5,0.91186,7.0,0.99998,2.0,0.9998799999999999,4.0,solid_angle,7.0,SPE
HashingEncoder,dataset_31_credit-g,SGD,0.4787199999999999,6.0,0.57496,4.0,0.35124,8.0,0.6299600000000001,1.0,0.5922000000000001,2.0,0.4995200000000001,5.0,0.46134,7.0,0.5783799999999999,3.0,solid_angle,7.0,SPE
HashingEncoder,dresses-sales,SGD,0.5385,2.0,0.52584,5.0,0.52042,6.0,0.5292000000000001,4.0,0.52028,7.0,0.5313399999999999,3.0,0.50758,8.0,0.5630599999999999,1.0,solid_angle,7.0,SPE
HashingEncoder,dermatology,SGD,0.92904,2.0,0.9668600000000002,1.0,0.8496,6.0,0.8143,8.0,0.8416599999999999,7.0,0.86972,4.0,0.8670399999999999,5.0,0.8708799999999999,3.0,solid_angle,7.0,SPE
HashingEncoder,thyroid-hypothyroid,SGD,0.7278399999999999,8.0,0.92532,5.0,0.904,7.0,0.9279999999999999,4.0,0.94804,3.0,0.98012,1.0,0.96044,2.0,0.90956,6.0,solid_angle,7.0,SPE
HashingEncoder,credit-approval,SGD,0.56798,7.0,0.6206200000000001,3.0,0.60164,6.0,0.63152,2.0,0.61164,5.0,0.5583,8.0,0.64146,1.0,0.61722,4.0,solid_angle,7.0,SPE
HashingEncoder,horse-colic-surgical,SGD,0.47,5.5,0.42336,7.5,0.47668,4.0,0.42336,7.5,0.58332,2.0,0.53,3.0,0.47,5.5,0.63664,1.0,solid_angle,7.0,SPE
HashingEncoder,heart,SGD,0.5111199999999999,5.0,0.51112,5.0,0.49256000000000005,8.0,0.5304,1.0,0.5111199999999999,5.0,0.5081600000000001,7.0,0.5229600000000001,3.0,0.5242600000000001,2.0,solid_angle,7.0,SPE
HashingEncoder,hepatitis,SGD,0.4168,8.0,0.46596000000000004,5.0,0.43728,7.0,0.43992,6.0,0.63622,3.0,0.67908,1.0,0.66672,2.0,0.6227600000000001,4.0,solid_angle,7.0,SPE
