ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
JamesSteinEncoder,abalone-3_vs_11,MLP,0.9934200000000001,6.0,0.99464,3.0,0.9944200000000001,4.5,0.9944200000000001,4.5,0.99506,2.0,1.0,1.0,0.99258,7.0,0.9492,8.0,aspect_ratio,0.5,F1
JamesSteinEncoder,kddcup-land_vs_portsweep,MLP,0.9981,6.5,0.9991,3.0,0.9991,3.0,0.9991,3.0,0.9981,6.5,0.9991,3.0,0.9991,3.0,0.98316,8.0,aspect_ratio,0.5,F1
JamesSteinEncoder,dataset_31_credit-g,MLP,0.7048,1.0,0.7021200000000001,2.0,0.6714399999999999,3.0,0.4512600000000001,6.0,0.4524,5.0,0.27486,7.0,0.6538999999999999,4.0,0.25044,8.0,aspect_ratio,0.5,F1
JamesSteinEncoder,dresses-sales,MLP,0.5552600000000001,1.0,0.5445,3.0,0.54506,2.0,0.54314,4.0,0.5414399999999999,6.0,0.5380800000000001,8.0,0.5415599999999999,5.0,0.5397400000000001,7.0,aspect_ratio,0.5,F1
JamesSteinEncoder,dermatology,MLP,0.9667600000000001,2.0,0.97278,1.0,0.94024,3.0,0.93716,4.0,0.93358,5.0,0.92138,7.0,0.92432,6.0,0.8795999999999999,8.0,aspect_ratio,0.5,F1
JamesSteinEncoder,thyroid-hypothyroid,MLP,0.9867799999999999,1.0,0.97756,5.0,0.97332,6.0,0.97828,4.0,0.97916,3.0,0.9514799999999999,8.0,0.98144,2.0,0.97066,7.0,aspect_ratio,0.5,F1
JamesSteinEncoder,credit-approval,MLP,0.7665399999999999,2.0,0.7719400000000001,1.0,0.7305200000000001,3.0,0.71942,4.0,0.6754399999999999,8.0,0.69972,7.0,0.7071799999999999,5.0,0.7048800000000001,6.0,aspect_ratio,0.5,F1
JamesSteinEncoder,horse-colic-surgical,MLP,0.5083,3.0,0.5329600000000001,2.0,0.47666000000000003,5.0,0.4154600000000001,6.0,0.3507000000000001,8.0,0.40064,7.0,0.5857000000000001,1.0,0.49334,4.0,aspect_ratio,0.5,F1
JamesSteinEncoder,heart,MLP,0.80556,1.0,0.7467199999999999,3.0,0.7133200000000001,7.0,0.62454,8.0,0.7264,4.0,0.7143200000000001,6.0,0.74834,2.0,0.7229,5.0,aspect_ratio,0.5,F1
JamesSteinEncoder,hepatitis,MLP,0.80128,3.0,0.8430799999999999,1.0,0.7226400000000001,8.0,0.8025,2.0,0.77486,6.0,0.7821400000000001,4.0,0.7770999999999999,5.0,0.74264,7.0,aspect_ratio,0.5,F1
