ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
JamesSteinEncoder,abalone-3_vs_11,LRG,0.8420799999999999,6.0,0.99172,1.0,0.9886,3.0,0.99068,2.0,0.39426,7.5,0.39426,7.5,0.98756,4.0,0.95374,5.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,kddcup-land_vs_portsweep,LRG,0.9995200000000001,4.0,0.9995200000000001,4.0,0.9995200000000001,4.0,0.9995200000000001,4.0,0.9995200000000001,4.0,0.9995200000000001,4.0,0.9995200000000001,4.0,0.99226,8.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,dataset_31_credit-g,LRG,0.6290600000000001,2.0,0.6421,1.0,0.1823,7.0,0.43426,3.0,0.32302,5.0,0.31802,6.0,0.17157999999999998,8.0,0.41924,4.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,dresses-sales,LRG,0.5432599999999999,6.0,0.5418000000000001,7.0,0.5379,8.0,0.54342,5.0,0.55742,1.0,0.5552400000000001,2.0,0.5486,3.0,0.5464600000000001,4.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,dermatology,LRG,0.98472,1.0,0.9754000000000002,2.0,0.94794,3.0,0.94536,4.0,0.94406,5.5,0.93516,8.0,0.94406,5.5,0.94234,7.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,thyroid-hypothyroid,LRG,0.8388,8.0,0.92596,6.0,0.9608,3.0,0.96318,1.0,0.9563200000000001,4.0,0.9534,5.0,0.9623200000000001,2.0,0.91814,7.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,credit-approval,LRG,0.8572799999999999,4.0,0.8560000000000001,5.0,0.8554200000000001,6.0,0.8599600000000001,1.0,0.8597600000000001,2.0,0.8582599999999999,3.0,0.7590999999999999,8.0,0.8547,7.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,horse-colic-surgical,LRG,0.39278,8.0,0.5534600000000001,6.0,0.5457,7.0,0.6874600000000001,3.0,0.70848,2.0,0.67428,5.0,0.6842199999999999,4.0,0.7229,1.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,heart,LRG,0.80988,1.0,0.80712,2.0,0.76452,4.0,0.75166,7.0,0.7591,5.0,0.7502199999999999,8.0,0.7555400000000001,6.0,0.79418,3.0,aspect_ratio,1.0,GEO
JamesSteinEncoder,hepatitis,LRG,0.7339800000000001,3.0,0.68424,8.0,0.7250400000000001,5.0,0.6854000000000001,7.0,0.7298199999999999,4.0,0.76232,1.0,0.7090599999999999,6.0,0.7528,2.0,aspect_ratio,1.0,GEO
