ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
JamesSteinEncoder,abalone-3_vs_11,MLP,0.8899000000000001,8.0,0.9969,2.0,0.99688,3.5,0.99688,3.5,0.91548,7.0,1.0,1.0,0.9958600000000001,5.0,0.97714,6.0,solid_angle,0.5,GEO
JamesSteinEncoder,kddcup-land_vs_portsweep,MLP,0.97272,7.5,0.9995200000000001,3.0,0.9995200000000001,3.0,0.9995200000000001,3.0,0.97272,7.5,0.9995200000000001,3.0,0.9995200000000001,3.0,0.98838,6.0,solid_angle,0.5,GEO
JamesSteinEncoder,dataset_31_credit-g,MLP,0.63598,1.0,0.6219399999999999,2.0,0.6064,3.0,0.49672,6.0,0.49768,5.0,0.3202,7.0,0.57072,4.0,0.28806000000000004,8.0,solid_angle,0.5,GEO
JamesSteinEncoder,dresses-sales,MLP,0.5343600000000001,3.0,0.52332,8.0,0.53494,2.0,0.53276,5.0,0.5239199999999999,7.0,0.53432,4.0,0.5324599999999999,6.0,0.55274,1.0,solid_angle,0.5,GEO
JamesSteinEncoder,dermatology,MLP,0.97948,2.0,0.98344,1.0,0.96306,3.0,0.96114,4.0,0.95914,5.0,0.95132,7.0,0.95318,6.0,0.94474,8.0,solid_angle,0.5,GEO
JamesSteinEncoder,thyroid-hypothyroid,MLP,0.90738,8.0,0.9191199999999998,6.0,0.93586,5.0,0.95282,3.0,0.9564,2.0,0.9472000000000002,4.0,0.91466,7.0,0.9572799999999999,1.0,solid_angle,0.5,GEO
JamesSteinEncoder,credit-approval,MLP,0.7548999999999999,2.0,0.7700199999999999,1.0,0.72416,3.0,0.7206199999999999,4.0,0.6556000000000001,8.0,0.6923,7.0,0.7064600000000001,6.0,0.71294,5.0,solid_angle,0.5,GEO
JamesSteinEncoder,horse-colic-surgical,MLP,0.1834,5.0,0.32486000000000004,2.0,0.43452,1.0,0.10928,7.0,0.07254000000000001,8.0,0.21974,4.0,0.23235999999999998,3.0,0.12108,6.0,solid_angle,0.5,GEO
JamesSteinEncoder,heart,MLP,0.79752,1.0,0.7411800000000001,3.0,0.7157,4.0,0.5633,8.0,0.7156,5.0,0.71518,6.0,0.74316,2.0,0.7093,7.0,solid_angle,0.5,GEO
JamesSteinEncoder,hepatitis,MLP,0.5113800000000001,8.0,0.69494,1.0,0.6613600000000001,4.0,0.6204799999999999,6.0,0.63976,5.0,0.69158,2.0,0.59034,7.0,0.66704,3.0,solid_angle,0.5,GEO
