ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
JamesSteinEncoder,abalone-3_vs_11,DTREE,1.0,2.0,1.0,2.0,0.9353200000000002,7.5,0.9999399999999999,4.5,1.0,2.0,0.9353200000000002,7.5,0.9999399999999999,4.5,0.99886,6.0,solid_angle,1.0,SPE
JamesSteinEncoder,kddcup-land_vs_portsweep,DTREE,0.99998,6.5,1.0,2.5,1.0,2.5,1.0,2.5,0.99998,6.5,0.99998,6.5,0.99998,6.5,1.0,2.5,solid_angle,1.0,SPE
JamesSteinEncoder,dataset_31_credit-g,DTREE,0.53404,6.0,0.55476,5.0,0.4507600000000001,8.0,0.58628,4.0,0.48666,7.0,0.62812,2.0,0.5871999999999999,3.0,0.6314400000000001,1.0,solid_angle,1.0,SPE
JamesSteinEncoder,dresses-sales,DTREE,0.5153,6.0,0.4952599999999999,8.0,0.5222600000000001,4.0,0.51978,5.0,0.53794,2.0,0.5137,7.0,0.5508200000000001,1.0,0.52596,3.0,solid_angle,1.0,SPE
JamesSteinEncoder,dermatology,DTREE,0.98742,8.0,0.98892,4.5,0.9915799999999999,1.0,0.9905200000000001,3.0,0.9911200000000001,2.0,0.9886799999999999,6.0,0.98892,4.5,0.98798,7.0,solid_angle,1.0,SPE
JamesSteinEncoder,thyroid-hypothyroid,DTREE,0.87374,5.0,0.8795200000000001,4.0,0.8856400000000001,3.0,0.87318,6.0,0.91124,1.0,0.87246,7.0,0.8920999999999999,2.0,0.8482,8.0,solid_angle,1.0,SPE
JamesSteinEncoder,credit-approval,DTREE,0.8042199999999999,6.0,0.7976,8.0,0.8267399999999998,1.0,0.8132199999999999,3.0,0.80206,7.0,0.8068,5.0,0.81158,4.0,0.8205199999999999,2.0,solid_angle,1.0,SPE
JamesSteinEncoder,horse-colic-surgical,DTREE,0.8115400000000002,1.0,0.7595000000000001,8.0,0.7752600000000001,4.0,0.7691999999999999,7.0,0.77358,5.0,0.7791399999999999,3.0,0.78694,2.0,0.77298,6.0,solid_angle,1.0,SPE
JamesSteinEncoder,heart,DTREE,0.7351800000000001,2.0,0.7461,1.0,0.6761199999999999,6.0,0.6414799999999998,7.0,0.6242399999999999,8.0,0.6768799999999999,5.0,0.68352,4.0,0.6907399999999999,3.0,solid_angle,1.0,SPE
JamesSteinEncoder,hepatitis,DTREE,0.5674,6.0,0.6209199999999999,2.0,0.56406,7.0,0.6208199999999999,3.0,0.6087600000000001,4.0,0.53132,8.0,0.6711600000000001,1.0,0.5790200000000001,5.0,solid_angle,1.0,SPE
