ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
JamesSteinEncoder,abalone-3_vs_11,SGD,0.8706200000000001,8.0,0.9998799999999999,4.0,0.9999399999999999,2.0,1.0,1.0,0.9352600000000001,7.0,0.9998799999999999,4.0,0.9998799999999999,4.0,0.9994599999999998,6.0,solid_angle,1.0,SPE
JamesSteinEncoder,kddcup-land_vs_portsweep,SGD,0.8628199999999999,5.0,0.99998,1.0,0.90186,3.5,0.90186,3.5,0.47038,8.0,0.51036,7.0,0.8628,6.0,0.99896,2.0,solid_angle,1.0,SPE
JamesSteinEncoder,dataset_31_credit-g,SGD,0.4787199999999999,8.0,0.57496,5.0,0.54472,6.0,0.53928,7.0,0.6826199999999999,2.0,0.6866399999999999,1.0,0.6158600000000001,4.0,0.6753399999999999,3.0,solid_angle,1.0,SPE
JamesSteinEncoder,dresses-sales,SGD,0.5385,2.0,0.52584,3.0,0.50112,7.0,0.5176399999999999,4.0,0.51662,5.0,0.59162,1.0,0.50702,6.0,0.49973999999999996,8.0,solid_angle,1.0,SPE
JamesSteinEncoder,dermatology,SGD,0.92904,2.0,0.9668600000000002,1.0,0.91184,6.0,0.91514,5.0,0.9089,7.0,0.9244600000000001,3.0,0.89848,8.0,0.92264,4.0,solid_angle,1.0,SPE
JamesSteinEncoder,thyroid-hypothyroid,SGD,0.7278399999999999,8.0,0.92532,6.0,0.96588,2.0,0.9771,1.0,0.9529799999999999,4.0,0.95344,3.0,0.9339,5.0,0.90342,7.0,solid_angle,1.0,SPE
JamesSteinEncoder,credit-approval,SGD,0.56798,8.0,0.6206200000000001,3.0,0.6043000000000001,4.0,0.57636,7.0,0.6220399999999999,2.0,0.5965199999999999,5.0,0.5767399999999999,6.0,0.6321399999999999,1.0,solid_angle,1.0,SPE
JamesSteinEncoder,horse-colic-surgical,SGD,0.47,4.5,0.42336,6.5,0.47,4.5,0.42336,6.5,0.53,2.5,0.5766399999999999,1.0,0.4166800000000001,8.0,0.53,2.5,solid_angle,1.0,SPE
JamesSteinEncoder,heart,SGD,0.5111199999999999,4.5,0.51112,4.5,0.4966600000000001,7.0,0.51166,1.0,0.5115000000000001,2.0,0.51112,4.5,0.48888,8.0,0.51112,4.5,solid_angle,1.0,SPE
JamesSteinEncoder,hepatitis,SGD,0.4168,7.0,0.46596000000000004,6.0,0.71196,1.0,0.38256,8.0,0.6365400000000001,2.0,0.4826800000000001,5.0,0.49882,4.0,0.5557799999999999,3.0,solid_angle,1.0,SPE
