ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,KNN,0.9934200000000001,6.0,0.99156,7.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.9441,8.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,kddcup-land_vs_portsweep,KNN,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9624400000000002,8.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,dataset_31_credit-g,KNN,0.70208,2.0,0.7062000000000002,1.0,0.6224399999999999,8.0,0.63476,5.0,0.6300600000000001,6.0,0.6232200000000001,7.0,0.67178,3.0,0.645,4.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,dresses-sales,KNN,0.55408,4.0,0.5079400000000001,8.0,0.5443,6.0,0.5460799999999999,5.0,0.5302399999999999,7.0,0.5721799999999999,2.0,0.5591,3.0,0.6081399999999999,1.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,dermatology,KNN,0.7618400000000001,2.0,0.7730400000000001,1.0,0.73832,6.0,0.7418199999999999,5.0,0.75256,4.0,0.76136,3.0,0.7159,7.0,0.66674,8.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,thyroid-hypothyroid,KNN,0.98214,1.0,0.97308,6.0,0.97362,5.0,0.97664,3.0,0.9760200000000001,4.0,0.9415,8.0,0.97988,2.0,0.97256,7.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,credit-approval,KNN,0.7148599999999999,2.0,0.722,1.0,0.6888799999999999,6.0,0.6915,5.0,0.68266,8.0,0.68442,7.0,0.70106,4.0,0.70778,3.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,horse-colic-surgical,KNN,0.80282,2.0,0.7924599999999999,3.0,0.7389199999999999,7.0,0.7596200000000001,5.0,0.7652400000000001,4.0,0.7197000000000001,8.0,0.7572599999999999,6.0,0.8290200000000001,1.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,heart,KNN,0.5734800000000001,5.0,0.5769599999999999,4.0,0.5697399999999999,6.0,0.5621799999999999,7.0,0.58204,2.0,0.5581200000000001,8.0,0.5916800000000001,1.0,0.58086,3.0,aspect_ratio,0.5,F1
LeaveOneOutEncoder,hepatitis,KNN,0.6793600000000001,1.0,0.58162,8.0,0.6068600000000001,6.0,0.6615199999999999,2.0,0.6182000000000001,4.0,0.601,7.0,0.6331600000000001,3.0,0.6178,5.0,aspect_ratio,0.5,F1
