ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,MLP,0.99408,7.0,0.99612,3.0,0.997,2.0,0.9955,5.5,0.99608,4.0,0.9980399999999999,1.0,0.9955,5.5,0.9799,8.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,kddcup-land_vs_portsweep,MLP,0.9983,7.0,0.99924,3.5,0.99924,3.5,0.99924,3.5,0.99924,3.5,0.99924,3.5,0.99924,3.5,0.98956,8.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,dataset_31_credit-g,MLP,0.7062999999999999,7.0,0.70134,8.0,0.7383,5.0,0.73688,6.0,0.74502,2.0,0.7447199999999999,3.0,0.7419600000000001,4.0,0.7471399999999999,1.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,dresses-sales,MLP,0.55748,6.0,0.54878,8.0,0.5818399999999999,4.0,0.55594,7.0,0.5677800000000001,5.0,0.5845800000000001,2.0,0.58296,3.0,0.6028,1.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,dermatology,MLP,0.96716,2.0,0.9755,1.0,0.9379799999999999,3.0,0.93544,5.0,0.93714,4.0,0.91564,7.0,0.9295200000000001,6.0,0.9015,8.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,thyroid-hypothyroid,MLP,0.98674,1.0,0.98002,5.0,0.9798,6.0,0.9812,3.5,0.98248,2.0,0.96998,8.0,0.9812,3.5,0.978,7.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,credit-approval,MLP,0.78062,1.0,0.77952,2.0,0.71082,8.0,0.7362,4.0,0.7369600000000001,3.0,0.7350000000000001,5.0,0.7186600000000001,7.0,0.73024,6.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,horse-colic-surgical,MLP,0.5048,5.0,0.5827600000000001,3.0,0.5579400000000001,4.0,0.6949799999999999,2.0,0.46724,7.0,0.2987,8.0,0.47964,6.0,0.74732,1.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,heart,MLP,0.8134399999999999,1.0,0.7554399999999999,8.0,0.7834599999999999,5.0,0.77208,6.0,0.7867999999999999,4.0,0.7947599999999999,2.0,0.75712,7.0,0.78688,3.0,aspect_ratio,0.5,PRE
LeaveOneOutEncoder,hepatitis,MLP,0.8016800000000001,2.0,0.8473599999999999,1.0,0.7919599999999999,4.0,0.7326,8.0,0.80162,3.0,0.7812,7.0,0.7858600000000001,6.0,0.7915800000000001,5.0,aspect_ratio,0.5,PRE
