ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,MLP,0.9940200000000001,4.5,0.9940200000000001,4.5,0.996,2.5,0.9940000000000001,6.5,0.996,2.5,0.99802,1.0,0.9940000000000001,6.5,0.99204,8.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,kddcup-land_vs_portsweep,MLP,0.9981200000000001,8.0,0.9990600000000001,4.0,0.9990600000000001,4.0,0.9990600000000001,4.0,0.9990600000000001,4.0,0.9990600000000001,4.0,0.9990600000000001,4.0,0.9990600000000001,4.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,dataset_31_credit-g,MLP,0.7040000000000001,1.5,0.7040000000000001,1.5,0.6839999999999999,5.0,0.6910000000000001,4.0,0.6799999999999999,6.0,0.6769999999999999,7.0,0.6940000000000001,3.0,0.6679999999999999,8.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,dresses-sales,MLP,0.5579999999999999,5.0,0.5479999999999999,8.0,0.578,4.0,0.552,7.0,0.5559999999999999,6.0,0.584,2.0,0.58,3.0,0.5980000000000001,1.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,dermatology,MLP,0.96716,2.0,0.9726799999999999,1.0,0.9371,4.0,0.9343600000000001,5.0,0.93712,3.0,0.9125,8.0,0.9262,6.0,0.92616,7.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,thyroid-hypothyroid,MLP,0.98704,1.0,0.9763,4.0,0.97124,7.0,0.97628,5.0,0.97722,3.0,0.94338,8.0,0.9784799999999999,2.0,0.97406,6.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,credit-approval,MLP,0.76956,2.0,0.7724599999999999,1.0,0.6999799999999999,8.0,0.7348,3.0,0.72896,4.0,0.7174,5.0,0.7159399999999999,6.0,0.71304,7.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,horse-colic-surgical,MLP,0.6233199999999999,3.0,0.6100000000000001,4.0,0.50998,8.0,0.6399800000000001,2.0,0.65332,1.0,0.53,7.0,0.5899800000000001,5.0,0.5466599999999999,6.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,heart,MLP,0.8074,1.0,0.74816,7.0,0.76294,5.0,0.75926,6.0,0.7703800000000001,4.0,0.77408,3.0,0.7481399999999999,8.0,0.7778,2.0,aspect_ratio,7.0,REC
LeaveOneOutEncoder,hepatitis,MLP,0.8322800000000001,2.0,0.8516199999999999,1.0,0.76776,6.0,0.79356,4.0,0.7871,5.0,0.7484,7.5,0.79998,3.0,0.7484,7.5,aspect_ratio,7.0,REC
