ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,DTREE,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.6466000000000001,8.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,kddcup-land_vs_portsweep,DTREE,0.9989399999999999,3.5,1.0,1.5,0.2,5.0,0.0,7.0,0.0,7.0,0.0,7.0,0.9989399999999999,3.5,1.0,1.5,solid_angle,0.5,IBA
LeaveOneOutEncoder,dataset_31_credit-g,DTREE,0.34328000000000003,2.0,0.3632,1.0,0.0,7.5,0.025259999999999998,4.5,0.0,7.5,0.03476,3.0,0.025259999999999998,4.5,0.015960000000000002,6.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,dresses-sales,DTREE,0.27088,1.0,0.2397,2.0,0.19768,3.0,0.15187999999999996,5.0,0.17620000000000002,4.0,0.10386000000000002,6.0,0.08959999999999999,7.0,0.0363,8.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,dermatology,DTREE,0.9304400000000002,1.0,0.9257799999999999,2.0,0.05926,8.0,0.07783999999999999,7.0,0.10883999999999998,6.0,0.5143399999999999,4.0,0.77878,3.0,0.3406,5.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,thyroid-hypothyroid,DTREE,0.8714799999999999,2.0,0.8743799999999999,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.18676,3.0,0.0,6.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,credit-approval,DTREE,0.6494199999999999,1.0,0.6390600000000001,2.0,0.02054,6.0,0.01652,7.0,0.006319999999999999,8.0,0.08420000000000001,4.0,0.05358,5.0,0.09446,3.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,horse-colic-surgical,DTREE,0.68512,1.0,0.60428,2.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.05728,3.0,0.0,6.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,heart,DTREE,0.5476599999999999,3.0,0.56052,2.0,0.54574,4.0,0.5214000000000001,5.0,0.56098,1.0,0.44104,7.0,0.51502,6.0,0.4268000000000001,8.0,solid_angle,0.5,IBA
LeaveOneOutEncoder,hepatitis,DTREE,0.4285399999999999,2.0,0.47056000000000003,1.0,0.0,6.5,0.0,6.5,0.0,6.5,0.0,6.5,0.0843,4.0,0.12458,3.0,solid_angle,0.5,IBA
