ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,MLP,0.8059999999999999,8.0,0.99982,3.0,0.9998799999999999,1.0,0.99982,3.0,0.87066,7.0,0.9353200000000002,6.0,0.99982,3.0,0.99928,5.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,kddcup-land_vs_portsweep,MLP,0.95092,8.0,0.99998,3.5,0.99998,3.5,0.99998,3.5,0.99998,3.5,0.99998,3.5,0.99998,3.5,0.99976,7.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,dataset_31_credit-g,MLP,0.5969399999999999,7.0,0.5798,8.0,0.7026600000000001,5.0,0.69424,6.0,0.7199800000000001,2.0,0.7206199999999999,1.0,0.70316,4.0,0.7087000000000001,3.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,dresses-sales,MLP,0.5314800000000001,7.0,0.5229199999999999,8.0,0.5617399999999999,4.0,0.5363200000000001,6.0,0.555,5.0,0.5621400000000001,3.0,0.56318,2.0,0.58886,1.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,dermatology,MLP,0.9934799999999999,2.0,0.99558,1.0,0.9883,3.0,0.9878,4.0,0.98774,5.0,0.98344,8.0,0.98572,6.0,0.98476,7.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,thyroid-hypothyroid,MLP,0.83636,8.0,0.8664400000000001,7.0,0.93584,3.0,0.9166799999999998,4.0,0.93594,2.0,0.91524,5.0,0.8791800000000001,6.0,0.95992,1.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,credit-approval,MLP,0.7561399999999999,2.0,0.77346,1.0,0.6809999999999999,8.0,0.7297600000000001,3.0,0.7083200000000001,5.0,0.6972,7.0,0.70496,6.0,0.71868,4.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,horse-colic-surgical,MLP,0.4857800000000001,5.0,0.5372199999999999,2.0,0.51366,3.0,0.49672,4.0,0.41894,8.0,0.47,6.0,0.42054,7.0,0.53798,1.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,heart,MLP,0.7976,1.0,0.74352,8.0,0.77536,4.0,0.75408,6.0,0.7613,5.0,0.78762,2.0,0.7501800000000001,7.0,0.78464,3.0,solid_angle,1.0,SPE
LeaveOneOutEncoder,hepatitis,MLP,0.48012,7.0,0.61706,3.0,0.61582,4.0,0.4343,8.0,0.6259,2.0,0.5909599999999999,5.0,0.5122,6.0,0.67708,1.0,solid_angle,1.0,SPE
