ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,ABC,0.99774,5.5,1.0,2.5,0.93752,7.0,0.99774,5.5,1.0,2.5,1.0,2.5,1.0,2.5,0.86882,8.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,kddcup-land_vs_portsweep,ABC,0.9989399999999999,2.5,1.0,1.0,0.0,7.5,0.2,5.5,0.39894,4.0,0.2,5.5,0.9989399999999999,2.5,0.0,7.5,solid_angle,7.0,IBA
LeaveOneOutEncoder,dataset_31_credit-g,ABC,0.3733400000000001,2.0,0.38376,1.0,0.03978,5.0,0.04768,4.0,0.05888,3.0,0.01508,7.0,0.01356,8.0,0.03798,6.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,dresses-sales,ABC,0.30118,1.0,0.28698,2.0,0.14392,5.0,0.09988,6.0,0.18672,3.0,0.0694,8.0,0.17962,4.0,0.07628,7.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,dermatology,ABC,0.5641999999999999,1.0,0.3275,4.0,0.05366,8.0,0.0572,7.0,0.08794,6.0,0.3689600000000001,3.0,0.22452,5.0,0.40831999999999996,2.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,thyroid-hypothyroid,ABC,0.87984,2.0,0.91008,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.007240000000000002,3.0,0.0,6.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,credit-approval,ABC,0.7014199999999999,2.0,0.7105199999999999,1.0,0.2092,8.0,0.5410600000000001,3.0,0.4480799999999999,5.0,0.2396800000000001,6.0,0.5334,4.0,0.2246,7.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,horse-colic-surgical,ABC,0.6542600000000001,1.0,0.61356,2.0,0.05728,3.5,0.0,6.5,0.05728,3.5,0.0,6.5,0.0,6.5,0.0,6.5,solid_angle,7.0,IBA
LeaveOneOutEncoder,heart,ABC,0.54506,2.0,0.6017399999999999,1.0,0.3687800000000001,4.0,0.39658,3.0,0.21006,7.0,0.14982,8.0,0.34316,5.0,0.30214,6.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,hepatitis,ABC,0.44758,2.0,0.4845,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.07404,3.0,solid_angle,7.0,IBA
