ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
LeaveOneOutEncoder,abalone-3_vs_11,MLP,0.8125599999999998,8.0,0.99326,2.0,0.99548,1.0,0.99322,3.5,0.87084,7.0,0.93752,6.0,0.99322,3.5,0.9843,5.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,kddcup-land_vs_portsweep,MLP,0.9525399999999999,8.0,0.9989399999999999,4.0,0.9989399999999999,4.0,0.9989399999999999,4.0,0.9989399999999999,4.0,0.9989399999999999,4.0,0.9989399999999999,4.0,0.9989399999999999,4.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,dataset_31_credit-g,MLP,0.4107,7.0,0.39361999999999997,8.0,0.47772,6.0,0.4784800000000001,5.0,0.48563999999999996,2.0,0.483,4.0,0.4866,1.0,0.48324,3.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,dresses-sales,MLP,0.28704,7.0,0.27613999999999994,8.0,0.318,3.0,0.2927000000000001,6.0,0.30532,5.0,0.32262,2.0,0.32364,1.0,0.3156,4.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,dermatology,MLP,0.95968,2.0,0.9670200000000001,1.0,0.92416,3.0,0.92066,5.0,0.92374,4.0,0.8942400000000001,8.0,0.9100399999999998,7.0,0.91608,6.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,thyroid-hypothyroid,MLP,0.83644,8.0,0.8542200000000001,7.0,0.91184,3.0,0.89986,4.0,0.9181799999999999,1.0,0.8653000000000001,6.0,0.8681000000000001,5.0,0.9171,2.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,credit-approval,MLP,0.57662,2.0,0.5938399999999999,1.0,0.4526800000000001,7.0,0.5363,3.0,0.4990400000000001,5.0,0.4716600000000001,6.0,0.4998600000000001,4.0,0.41782,8.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,horse-colic-surgical,MLP,0.12114,3.0,0.18722,1.0,0.08012000000000001,5.0,0.14662,2.0,0.08964,4.0,0.0,8.0,0.01026,7.0,0.07672000000000001,6.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,heart,MLP,0.6386200000000001,1.0,0.55076,8.0,0.58102,4.0,0.56258,6.0,0.5703600000000001,5.0,0.6006400000000001,2.0,0.5556599999999999,7.0,0.5959800000000001,3.0,solid_angle,7.0,IBA
LeaveOneOutEncoder,hepatitis,MLP,0.34302,7.0,0.51108,1.0,0.4685800000000001,4.0,0.26902000000000004,8.0,0.47934,3.0,0.42526,5.0,0.37998,6.0,0.50562,2.0,solid_angle,7.0,IBA
