ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
MEstimateEncoder,abalone-3_vs_11,ABC,0.99814,5.0,1.0,2.0,1.0,2.0,1.0,2.0,0.99814,5.0,0.9978200000000002,7.0,0.99814,5.0,0.9722200000000001,8.0,aspect_ratio,1.0,F1
MEstimateEncoder,kddcup-land_vs_portsweep,ABC,0.9991,6.0,1.0,2.0,0.9991,6.0,1.0,2.0,0.9991,6.0,0.9991,6.0,0.9991,6.0,1.0,2.0,aspect_ratio,1.0,F1
MEstimateEncoder,dataset_31_credit-g,ABC,0.71244,2.0,0.7181200000000001,1.0,0.5941,4.0,0.5489200000000001,7.0,0.5967200000000001,3.0,0.50134,8.0,0.5643600000000001,5.0,0.55114,6.0,aspect_ratio,1.0,F1
MEstimateEncoder,dresses-sales,ABC,0.58486,1.0,0.5516,3.0,0.54504,5.0,0.54406,6.0,0.5400600000000001,8.0,0.5454600000000001,4.0,0.55184,2.0,0.5405399999999999,7.0,aspect_ratio,1.0,F1
MEstimateEncoder,dermatology,ABC,0.56066,1.0,0.36714,7.0,0.4098000000000001,5.0,0.4574000000000001,3.0,0.4327,4.0,0.46871999999999997,2.0,0.23204,8.0,0.36912,6.0,aspect_ratio,1.0,F1
MEstimateEncoder,thyroid-hypothyroid,ABC,0.99008,2.0,0.9815,7.0,0.9854200000000001,4.0,0.98376,6.0,0.98482,5.0,0.97474,8.0,0.99126,1.0,0.9885,3.0,aspect_ratio,1.0,F1
MEstimateEncoder,credit-approval,ABC,0.8377800000000001,4.0,0.84224,2.0,0.8343999999999999,7.0,0.8371599999999999,6.0,0.8375199999999999,5.0,0.84046,3.0,0.84772,1.0,0.8278000000000001,8.0,aspect_ratio,1.0,F1
MEstimateEncoder,horse-colic-surgical,ABC,0.8289199999999999,1.0,0.8055200000000001,8.0,0.8131,7.0,0.8260400000000001,3.0,0.81652,6.0,0.8289,2.0,0.8187399999999999,5.0,0.8221799999999999,4.0,aspect_ratio,1.0,F1
MEstimateEncoder,heart,ABC,0.7404000000000001,2.0,0.7775000000000001,1.0,0.6813,4.0,0.6650400000000001,6.0,0.67168,5.0,0.63298,8.0,0.6463599999999999,7.0,0.7228600000000001,3.0,aspect_ratio,1.0,F1
MEstimateEncoder,hepatitis,ABC,0.8154,4.0,0.82126,2.0,0.8046599999999999,6.0,0.8244999999999999,1.0,0.8124,5.0,0.7999799999999999,8.0,0.81796,3.0,0.8036800000000001,7.0,aspect_ratio,1.0,F1
