ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
MEstimateEncoder,abalone-3_vs_11,MLP,0.9940200000000001,3.5,0.9940200000000001,3.5,0.9940000000000001,6.0,0.9940000000000001,6.0,0.998,1.0,0.99404,2.0,0.9940000000000001,6.0,0.98606,8.0,solid_angle,7.0,REC
MEstimateEncoder,kddcup-land_vs_portsweep,MLP,0.9981200000000001,7.0,0.9990600000000001,3.0,0.9981200000000001,7.0,0.9990600000000001,3.0,0.9981200000000001,7.0,0.9990600000000001,3.0,0.9990600000000001,3.0,0.9990600000000001,3.0,solid_angle,7.0,REC
MEstimateEncoder,dataset_31_credit-g,MLP,0.7040000000000001,1.5,0.7040000000000001,1.5,0.6880000000000001,3.5,0.6829999999999999,6.0,0.6689999999999999,7.0,0.5980000000000001,8.0,0.6860000000000002,5.0,0.6880000000000001,3.5,solid_angle,7.0,REC
MEstimateEncoder,dresses-sales,MLP,0.5579999999999999,5.5,0.5479999999999999,8.0,0.5519999999999999,7.0,0.5579999999999999,5.5,0.562,4.0,0.5680000000000001,3.0,0.5740000000000001,2.0,0.602,1.0,solid_angle,7.0,REC
MEstimateEncoder,dermatology,MLP,0.96716,2.0,0.9726799999999999,1.0,0.9399,3.0,0.93438,5.0,0.92894,6.0,0.9180200000000001,7.0,0.91528,8.0,0.9370200000000001,4.0,solid_angle,7.0,REC
MEstimateEncoder,thyroid-hypothyroid,MLP,0.98704,1.0,0.9763,3.0,0.97152,6.0,0.97598,4.0,0.97502,5.0,0.9399,8.0,0.98324,2.0,0.96836,7.0,solid_angle,7.0,REC
MEstimateEncoder,credit-approval,MLP,0.76956,2.0,0.7724599999999999,1.0,0.7362200000000001,3.0,0.7087,7.0,0.65654,8.0,0.7231799999999999,5.0,0.7188399999999999,6.0,0.73334,4.0,solid_angle,7.0,REC
MEstimateEncoder,horse-colic-surgical,MLP,0.6233199999999999,2.0,0.6100000000000001,3.0,0.5433199999999999,5.0,0.5666599999999999,4.0,0.46002,8.0,0.51,6.0,0.65332,1.0,0.4900000000000001,7.0,solid_angle,7.0,REC
MEstimateEncoder,heart,MLP,0.8074,1.0,0.74816,6.0,0.76664,4.0,0.76666,3.0,0.77778,2.0,0.75556,5.0,0.7370399999999999,7.0,0.7296400000000001,8.0,solid_angle,7.0,REC
MEstimateEncoder,hepatitis,MLP,0.8322800000000001,2.0,0.8516199999999999,1.0,0.7677400000000001,6.0,0.8064600000000001,4.0,0.6774399999999999,8.0,0.73548,7.0,0.80648,3.0,0.7742,5.0,solid_angle,7.0,REC
