ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OneHotEncoder,abalone-3_vs_11,RF,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.99324,7.0,0.99774,6.0,0.96634,8.0,aspect_ratio,1.0,IBA
OneHotEncoder,kddcup-land_vs_portsweep,RF,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.9989399999999999,8.0,1.0,4.0,aspect_ratio,1.0,IBA
OneHotEncoder,dataset_31_credit-g,RF,0.22976,8.0,0.30504000000000003,6.0,0.44096,3.0,0.41922,4.0,0.44548,2.0,0.44778,1.0,0.3923200000000001,5.0,0.2922,7.0,aspect_ratio,1.0,IBA
OneHotEncoder,dresses-sales,RF,0.26358000000000004,8.0,0.26798,6.0,0.28058,5.0,0.28628000000000003,2.0,0.28784,1.0,0.2843,3.0,0.28096,4.0,0.26516,7.0,aspect_ratio,1.0,IBA
OneHotEncoder,dermatology,RF,0.9728,6.0,0.9761799999999999,5.0,0.97626,3.5,0.9723200000000001,7.0,0.97626,3.5,0.98002,1.0,0.97668,2.0,0.96586,8.0,aspect_ratio,1.0,IBA
OneHotEncoder,thyroid-hypothyroid,RF,0.8432400000000001,8.0,0.8996599999999999,4.0,0.8936200000000001,5.0,0.90814,2.0,0.89056,6.0,0.9069,3.0,0.9216200000000001,1.0,0.8774599999999999,7.0,aspect_ratio,1.0,IBA
OneHotEncoder,credit-approval,RF,0.7579,1.0,0.74558,3.0,0.7419600000000001,6.0,0.7377600000000001,7.0,0.7476,2.0,0.74358,4.0,0.74288,5.0,0.7360599999999999,8.0,aspect_ratio,1.0,IBA
OneHotEncoder,horse-colic-surgical,RF,0.69204,6.0,0.6981400000000001,4.0,0.7101,2.0,0.69802,5.0,0.70908,3.0,0.6894399999999999,7.0,0.6844399999999999,8.0,0.72678,1.0,aspect_ratio,1.0,IBA
OneHotEncoder,heart,RF,0.6479600000000001,8.0,0.6601,6.0,0.6757,3.0,0.6829999999999999,2.0,0.6721999999999999,5.0,0.67502,4.0,0.69418,1.0,0.6592800000000001,7.0,aspect_ratio,1.0,IBA
OneHotEncoder,hepatitis,RF,0.4894,6.0,0.48038,7.0,0.50466,5.0,0.52352,3.0,0.4487,8.0,0.5224,4.0,0.5468200000000001,1.0,0.537,2.0,aspect_ratio,1.0,IBA
