ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OneHotEncoder,abalone-3_vs_11,KNN,0.9934200000000001,5.0,0.99156,7.0,0.99814,3.0,0.99814,3.0,1.0,1.0,0.9927799999999999,6.0,0.99814,3.0,0.97524,8.0,solid_angle,0.5,F1
OneHotEncoder,kddcup-land_vs_portsweep,KNN,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9983,4.0,0.9713799999999999,8.0,solid_angle,0.5,F1
OneHotEncoder,dataset_31_credit-g,KNN,0.70208,2.0,0.7062000000000002,1.0,0.47056,7.0,0.5498,5.0,0.46218000000000004,8.0,0.4715,6.0,0.6835600000000001,3.0,0.5835199999999999,4.0,solid_angle,0.5,F1
OneHotEncoder,dresses-sales,KNN,0.55408,1.0,0.5079400000000001,3.0,0.48258,6.0,0.49782,5.0,0.47192,7.0,0.4507600000000001,8.0,0.50812,2.0,0.50088,4.0,solid_angle,0.5,F1
OneHotEncoder,dermatology,KNN,0.7618400000000001,5.0,0.7730400000000001,3.0,0.7851,2.0,0.7582800000000001,6.0,0.7916399999999999,1.0,0.75058,7.0,0.7625599999999999,4.0,0.7469600000000001,8.0,solid_angle,0.5,F1
OneHotEncoder,thyroid-hypothyroid,KNN,0.98214,1.0,0.97308,6.0,0.9741200000000001,5.0,0.97564,3.0,0.9746600000000001,4.0,0.94314,8.0,0.9791,2.0,0.9562799999999999,7.0,solid_angle,0.5,F1
OneHotEncoder,credit-approval,KNN,0.7148599999999999,3.0,0.722,2.0,0.7134600000000001,4.0,0.7016399999999999,7.0,0.70038,8.0,0.7134,5.0,0.70602,6.0,0.7353799999999999,1.0,solid_angle,0.5,F1
OneHotEncoder,horse-colic-surgical,KNN,0.80282,1.0,0.7924599999999999,3.0,0.7579600000000001,5.0,0.7665,4.0,0.7207600000000001,8.0,0.7300000000000001,7.0,0.75738,6.0,0.79518,2.0,solid_angle,0.5,F1
OneHotEncoder,heart,KNN,0.5734800000000001,5.0,0.5769599999999999,4.0,0.5807,3.0,0.56284,8.0,0.56306,7.0,0.5968,1.0,0.5697,6.0,0.58886,2.0,solid_angle,0.5,F1
OneHotEncoder,hepatitis,KNN,0.6793600000000001,1.0,0.58162,8.0,0.6308400000000001,4.0,0.6643000000000001,2.0,0.6299,5.0,0.63132,3.0,0.61524,6.0,0.59204,7.0,solid_angle,0.5,F1
