ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OneHotEncoder,abalone-3_vs_11,SGD,0.99506,5.0,0.99648,2.0,0.99814,1.0,0.9944200000000001,6.0,0.99596,3.0,0.9802,7.0,0.99594,4.0,0.97304,8.0,solid_angle,0.5,F1
OneHotEncoder,kddcup-land_vs_portsweep,SGD,0.997,4.5,0.9991,1.0,0.9981,2.5,0.9969,6.0,0.99522,7.0,0.997,4.5,0.9981,2.5,0.95174,8.0,solid_angle,0.5,F1
OneHotEncoder,dataset_31_credit-g,SGD,0.6393000000000001,7.0,0.6934799999999999,2.0,0.61998,8.0,0.70534,1.0,0.6692400000000001,5.0,0.68386,3.0,0.65472,6.0,0.67142,4.0,solid_angle,0.5,F1
OneHotEncoder,dresses-sales,SGD,0.55182,3.0,0.51052,7.0,0.49936,8.0,0.5635399999999999,1.0,0.51064,6.0,0.5521199999999999,2.0,0.5141600000000001,5.0,0.5431600000000001,4.0,solid_angle,0.5,F1
OneHotEncoder,dermatology,SGD,0.5439,6.0,0.8124600000000001,4.0,0.81402,2.0,0.8671399999999999,1.0,0.8139200000000001,3.0,0.4307600000000001,8.0,0.71212,5.0,0.5331,7.0,solid_angle,0.5,F1
OneHotEncoder,thyroid-hypothyroid,SGD,0.9736,1.0,0.92218,6.0,0.97282,2.0,0.96946,3.0,0.95524,4.0,0.8698799999999999,8.0,0.92984,5.0,0.8962600000000001,7.0,solid_angle,0.5,F1
OneHotEncoder,credit-approval,SGD,0.5401600000000001,7.0,0.59372,1.0,0.5749,4.0,0.53746,8.0,0.5894199999999999,2.0,0.5618000000000001,6.0,0.58396,3.0,0.5689399999999999,5.0,solid_angle,0.5,F1
OneHotEncoder,horse-colic-surgical,SGD,0.37758,5.0,0.42926000000000003,2.0,0.31146,7.0,0.37758,5.0,0.38458000000000003,3.0,0.26622,8.0,0.37758,5.0,0.49538000000000004,1.0,solid_angle,0.5,F1
OneHotEncoder,heart,SGD,0.32282,6.0,0.32282,6.0,0.35558,3.0,0.40788,2.0,0.42618,1.0,0.33142000000000005,4.0,0.29816000000000004,8.0,0.32282,6.0,solid_angle,0.5,F1
OneHotEncoder,hepatitis,SGD,0.7118,2.0,0.66562,3.0,0.5297799999999999,7.0,0.5949399999999999,5.0,0.72144,1.0,0.5605399999999999,6.0,0.6158,4.0,0.5281600000000001,8.0,solid_angle,0.5,F1
