ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OneHotEncoder,abalone-3_vs_11,SVM,0.99408,3.0,0.9911,6.0,0.997,1.0,0.99164,4.5,0.99552,2.0,0.98972,7.0,0.99164,4.5,0.9867199999999998,8.0,solid_angle,0.5,PRE
OneHotEncoder,kddcup-land_vs_portsweep,SVM,0.99874,3.5,0.99874,3.5,0.99874,3.5,0.99798,7.0,0.99874,3.5,0.99874,3.5,0.99874,3.5,0.98472,8.0,solid_angle,0.5,PRE
OneHotEncoder,dataset_31_credit-g,SVM,0.7336,3.0,0.73098,5.0,0.72416,8.0,0.73988,1.0,0.7311,4.0,0.7254400000000001,7.0,0.73552,2.0,0.72546,6.0,solid_angle,0.5,PRE
OneHotEncoder,dresses-sales,SVM,0.6020199999999999,3.0,0.58472,7.0,0.58762,5.0,0.58504,6.0,0.57768,8.0,0.6082799999999999,1.0,0.5946600000000001,4.0,0.6037199999999999,2.0,solid_angle,0.5,PRE
OneHotEncoder,dermatology,SVM,0.35138,8.0,0.5767599999999999,4.0,0.6540600000000001,3.0,0.65592,2.0,0.70062,1.0,0.5747399999999999,5.0,0.55704,6.0,0.5135799999999999,7.0,solid_angle,0.5,PRE
OneHotEncoder,thyroid-hypothyroid,SVM,0.98074,1.0,0.97562,4.0,0.97608,2.0,0.9737600000000001,5.0,0.97312,7.0,0.9662,8.0,0.9757,3.0,0.97352,6.0,solid_angle,0.5,PRE
OneHotEncoder,credit-approval,SVM,0.69912,5.0,0.69872,6.0,0.70204,2.0,0.69612,7.0,0.6996199999999999,4.0,0.6998399999999999,3.0,0.6933400000000001,8.0,0.7075000000000001,1.0,solid_angle,0.5,PRE
OneHotEncoder,horse-colic-surgical,SVM,0.40538,8.0,0.6220600000000001,2.5,0.6220600000000001,2.5,0.6220600000000001,2.5,0.57458,6.0,0.5618399999999999,7.0,0.6220600000000001,2.5,0.62092,5.0,solid_angle,0.5,PRE
OneHotEncoder,heart,SVM,0.35446,8.0,0.60698,3.0,0.61268,2.0,0.59958,6.0,0.6128,1.0,0.6049399999999999,4.0,0.60334,5.0,0.59924,7.0,solid_angle,0.5,PRE
OneHotEncoder,hepatitis,SVM,0.6300000000000001,8.0,0.7187399999999999,6.0,0.74612,2.0,0.64244,7.0,0.72128,5.0,0.74206,3.0,0.7342600000000001,4.0,0.7570399999999999,1.0,solid_angle,0.5,PRE
