ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OrdinalEncoder,abalone-3_vs_11,SVM,0.99408,1.0,0.9911,4.0,0.99164,3.0,0.99074,5.5,0.99222,2.0,0.9830399999999999,7.0,0.99074,5.5,0.97354,8.0,aspect_ratio,1.0,PRE
OrdinalEncoder,kddcup-land_vs_portsweep,SVM,0.99874,3.5,0.99874,3.5,0.99874,3.5,0.99798,7.0,0.99874,3.5,0.99874,3.5,0.99874,3.5,0.98814,8.0,aspect_ratio,1.0,PRE
OrdinalEncoder,dataset_31_credit-g,SVM,0.7336,1.0,0.73098,2.0,0.6108199999999999,4.0,0.60344,5.0,0.60192,6.0,0.5988,7.0,0.61554,3.0,0.5466799999999999,8.0,aspect_ratio,1.0,PRE
OrdinalEncoder,dresses-sales,SVM,0.6020199999999999,1.0,0.58472,2.0,0.5445800000000001,4.0,0.5252,6.0,0.5080600000000001,8.0,0.52912,5.0,0.5190400000000001,7.0,0.55548,3.0,aspect_ratio,1.0,PRE
OrdinalEncoder,dermatology,SVM,0.35138,8.0,0.5767599999999999,7.0,0.8038000000000001,3.0,0.80924,2.0,0.7966799999999999,4.0,0.77066,5.0,0.8343599999999999,1.0,0.71106,6.0,aspect_ratio,1.0,PRE
OrdinalEncoder,thyroid-hypothyroid,SVM,0.98074,1.0,0.97562,4.0,0.9761200000000001,3.0,0.97336,6.0,0.9731,7.0,0.9676,8.0,0.97534,5.0,0.97918,2.0,aspect_ratio,1.0,PRE
OrdinalEncoder,credit-approval,SVM,0.69912,6.0,0.69872,7.0,0.6981399999999999,8.0,0.7087199999999999,1.0,0.70286,3.0,0.6996199999999999,5.0,0.69998,4.0,0.70682,2.0,aspect_ratio,1.0,PRE
OrdinalEncoder,horse-colic-surgical,SVM,0.40538,7.0,0.6220600000000001,3.0,0.6220600000000001,3.0,0.6220600000000001,3.0,0.6220600000000001,3.0,0.50798,6.0,0.6220600000000001,3.0,0.40418000000000004,8.0,aspect_ratio,1.0,PRE
OrdinalEncoder,heart,SVM,0.35446,8.0,0.60698,6.0,0.6228600000000001,2.0,0.5979,7.0,0.61636,4.0,0.6171800000000001,3.0,0.6155600000000001,5.0,0.6352,1.0,aspect_ratio,1.0,PRE
OrdinalEncoder,hepatitis,SVM,0.6300000000000001,8.0,0.7187399999999999,5.0,0.7177399999999999,6.0,0.6693999999999999,7.0,0.72428,3.0,0.7272000000000001,2.0,0.7400599999999999,1.0,0.72208,4.0,aspect_ratio,1.0,PRE
