ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OrdinalEncoder,abalone-3_vs_11,SVM,0.9934200000000001,1.0,0.98972,2.0,0.98908,4.0,0.98742,5.5,0.98926,3.0,0.9678,8.0,0.98742,5.5,0.98462,7.0,aspect_ratio,7.0,F1
OrdinalEncoder,kddcup-land_vs_portsweep,SVM,0.9983,3.5,0.9983,3.5,0.9983,3.5,0.9974,7.0,0.9983,3.5,0.9983,3.5,0.9983,3.5,0.9948,8.0,aspect_ratio,7.0,F1
OrdinalEncoder,dataset_31_credit-g,SVM,0.7167399999999999,2.0,0.7168400000000001,1.0,0.5398799999999999,6.0,0.54764,4.0,0.52498,7.0,0.54414,5.0,0.5561,3.0,0.44114,8.0,aspect_ratio,7.0,F1
OrdinalEncoder,dresses-sales,SVM,0.5583199999999999,2.0,0.5784400000000001,1.0,0.5367599999999999,4.0,0.5222600000000001,5.0,0.4906,8.0,0.50852,7.0,0.5112,6.0,0.54502,3.0,aspect_ratio,7.0,F1
OrdinalEncoder,dermatology,SVM,0.3901600000000001,8.0,0.5583600000000001,7.0,0.7764200000000001,2.0,0.7704000000000001,3.0,0.7356199999999999,5.0,0.71302,6.0,0.8099000000000001,1.0,0.74306,4.0,aspect_ratio,7.0,F1
OrdinalEncoder,thyroid-hypothyroid,SVM,0.9806799999999999,1.0,0.96358,4.0,0.96498,3.0,0.9575799999999999,6.0,0.9547,7.0,0.9285399999999999,8.0,0.9614799999999999,5.0,0.9772,2.0,aspect_ratio,7.0,F1
OrdinalEncoder,credit-approval,SVM,0.60724,8.0,0.6229800000000001,6.0,0.6269,3.0,0.6287200000000001,1.0,0.62612,4.0,0.625,5.0,0.6279600000000001,2.0,0.61032,7.0,aspect_ratio,7.0,F1
OrdinalEncoder,horse-colic-surgical,SVM,0.49538000000000004,1.0,0.34781999999999996,6.0,0.34781999999999996,6.0,0.34781999999999996,6.0,0.34781999999999996,6.0,0.3948,3.0,0.34781999999999996,6.0,0.4830200000000001,2.0,aspect_ratio,7.0,F1
OrdinalEncoder,heart,SVM,0.41866000000000003,8.0,0.59526,6.0,0.60748,1.0,0.5840000000000001,7.0,0.5955,5.0,0.5991200000000001,4.0,0.5996,3.0,0.60472,2.0,aspect_ratio,7.0,F1
OrdinalEncoder,hepatitis,SVM,0.70228,1.0,0.61116,4.0,0.5873999999999999,8.0,0.67982,2.0,0.5976199999999999,6.0,0.5974600000000001,7.0,0.5996199999999999,5.0,0.6696200000000001,3.0,aspect_ratio,7.0,F1
