ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OrdinalEncoder,abalone-3_vs_11,MLP,0.9940200000000001,2.5,0.9940200000000001,2.5,0.9940000000000001,5.0,0.9940000000000001,5.0,0.996,1.0,0.98804,7.0,0.9940000000000001,5.0,0.9761200000000001,8.0,solid_angle,1.0,REC
OrdinalEncoder,kddcup-land_vs_portsweep,MLP,0.9981200000000001,4.0,0.9990600000000001,1.0,0.9981200000000001,4.0,0.99718,7.0,0.9981200000000001,4.0,0.9981200000000001,4.0,0.9981200000000001,4.0,0.97926,8.0,solid_angle,1.0,REC
OrdinalEncoder,dataset_31_credit-g,MLP,0.7040000000000001,1.5,0.7040000000000001,1.5,0.675,3.0,0.639,5.0,0.6240000000000001,6.0,0.643,4.0,0.5599999999999999,8.0,0.569,7.0,solid_angle,1.0,REC
OrdinalEncoder,dresses-sales,MLP,0.5579999999999999,1.0,0.5479999999999999,2.0,0.532,4.0,0.508,7.0,0.53,5.0,0.51,6.0,0.504,8.0,0.5439999999999999,3.0,solid_angle,1.0,REC
OrdinalEncoder,dermatology,MLP,0.96716,2.0,0.9726799999999999,1.0,0.9399799999999999,3.0,0.93724,4.0,0.92632,7.0,0.93168,6.0,0.93716,5.0,0.89344,8.0,solid_angle,1.0,REC
OrdinalEncoder,thyroid-hypothyroid,MLP,0.98704,1.0,0.9763,5.0,0.97342,6.0,0.9797799999999999,3.0,0.97756,4.0,0.93516,8.0,0.98042,2.0,0.96742,7.0,solid_angle,1.0,REC
OrdinalEncoder,credit-approval,MLP,0.76956,2.0,0.7724599999999999,1.0,0.73916,4.0,0.7348,6.0,0.7318800000000001,8.0,0.73478,7.0,0.7391399999999999,5.0,0.7623,3.0,solid_angle,1.0,REC
OrdinalEncoder,horse-colic-surgical,MLP,0.6233199999999999,1.0,0.6100000000000001,3.0,0.59332,4.5,0.55332,6.0,0.61666,2.0,0.53664,7.5,0.53664,7.5,0.5933200000000001,4.5,solid_angle,1.0,REC
OrdinalEncoder,heart,MLP,0.8074,1.0,0.74816,7.0,0.75554,6.0,0.7740600000000001,4.0,0.7889,2.5,0.7703800000000001,5.0,0.7259399999999999,8.0,0.7889,2.5,solid_angle,1.0,REC
OrdinalEncoder,hepatitis,MLP,0.8322800000000001,3.0,0.8516199999999999,1.0,0.7742,7.0,0.8451600000000001,2.0,0.8129000000000002,5.0,0.76776,8.0,0.8129200000000001,4.0,0.8,6.0,solid_angle,1.0,REC
